sno,gmaps_place_id,gmaps_name,gmaps_formatted_address,gmaps_latitude,gmaps_longitude,gmaps_opening_hours_weekday_text,gmaps_website,gmaps_phone,gmaps_rating,gmaps_user_ratings_total,gmaps_editorial_summary,gmaps_url,gmaps_directions_url,gmaps_plus_code_global,gmaps_plus_code_compound,gmaps_addr_country,gmaps_addr_postal_code,gmaps_addr_postal_town,gmaps_addr_admin_area_level_1,gmaps_addr_admin_area_level_2,description_short,age_range,conditions_supported,specific_services,organization_type,status,last_verified
13,ChIJ1UlGWUwNdkgRr33xISAXBEc,National Autistic Society - Sybil Elgar School,"Havelock Rd., Southall UB2 4NY, UK",51.5012018,-0.3739406,Monday: 9:00?AM?�?3:40?PM; Tuesday: 9:00?AM?�?3:40?PM; Wednesday: 9:00?AM?�?3:40?PM; Thursday: 9:00?AM?�?3:30?PM; Friday: 9:00?AM?�?3:40?PM; Saturday: Closed; Sunday: Closed,https://www.autism.org.uk/our-schools/sybil-elgar,+44 20 8813 9168,,,,https://maps.google.com/?cid=5117240503375592879,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ1UlGWUwNdkgRr33xISAXBEc,9C3XGJ2G+FC,"GJ2G+FC Southall, UK",United Kingdom,UB2 4NY,Southall,England,Greater London,,,,,,,
14,ChIJVzGoe0AGdkgR18o-c-9l_jI,Lavender Lodge School,"224 London Rd, Mitcham CR4 3HD, UK",51.4078993,-0.164361,Monday: 8:30?AM?�?3:30?PM; Tuesday: 8:30?AM?�?3:30?PM; Wednesday: 8:30?AM?�?3:30?PM; Thursday: 8:30?AM?�?3:30?PM; Friday: 8:30?AM?�?3:30?PM; Saturday: Closed; Sunday: Closed,https://www.witherslackgroup.co.uk/our-locations/our-schools/lavender-lodge-school/,+44 20 8687 7050,,,,https://maps.google.com/?cid=3674486425085987543,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJVzGoe0AGdkgR18o-c-9l_jI,9C3XCR5P+57,"CR5P+57 Mitcham, UK",United Kingdom,CR4 3HD,Mitcham,England,Greater London,,,,,,,
15,ChIJIRDTuvgFdkgRNy6tjUUO0gQ,Tram House School (a BeyondAutism School),"520 Garratt Ln, London SW17 0NY, UK",51.4376684,-0.1870164,Monday: 8:00?AM?�?5:00?PM; Tuesday: 8:00?AM?�?5:00?PM; Wednesday: 8:00?AM?�?5:00?PM; Thursday: 8:00?AM?�?5:00?PM; Friday: 8:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.beyondautismschools.org.uk/tramhouse,+44 20 3031 9707,,,,https://maps.google.com/?cid=347355813153418807,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJIRDTuvgFdkgRNy6tjUUO0gQ,9C3XCRQ7+35,"CRQ7+35 London, UK",United Kingdom,SW17 0NY,London,England,Greater London,,,,,,,
16,ChIJ19m1fQAFdkgR_O85HD1wCvY,Centre Academy London,"92 St John's Hl, London SW11 1SH, UK",51.46106409999999,-0.1749199,Monday: 8:00?AM?�?4:00?PM; Tuesday: 8:00?AM?�?4:00?PM; Wednesday: 8:00?AM?�?4:00?PM; Thursday: 8:00?AM?�?4:00?PM; Friday: 8:00?AM?�?4:00?PM; Saturday: Closed; Sunday: Closed,https://www.centreacademy.net/,+44 20 7738 2344,,,,https://maps.google.com/?cid=17729106290866253820,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ19m1fQAFdkgR_O85HD1wCvY,9C3XFR6G+C2,"FR6G+C2 London, UK",United Kingdom,SW11 1SH,London,England,Greater London,,,,,,,
17,ChIJL5T6_x4bdkgR1Lp55PsnXZQ,Exceptional Individuals,"27 Old Gloucester St, London WC1B 5AA, UK",51.5206343,-0.1222098,Monday: 9:30?AM?�?5:30?PM; Tuesday: 9:30?AM?�?5:30?PM; Wednesday: 9:30?AM?�?5:30?PM; Thursday: 9:30?AM?�?5:30?PM; Friday: 9:30?AM?�?5:30?PM; Saturday: Closed; Sunday: Closed,http://exceptionalindividuals.com/,+44 20 8133 6046,4.3,27,,https://maps.google.com/?cid=10690745053270883028,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJL5T6_x4bdkgR1Lp55PsnXZQ,9C3XGVCH+74,"GVCH+74 London, UK",United Kingdom,WC1B 5AA,London,England,Greater London,,,,,,,
19,ChIJbQIttUIbdkgRx8GqelUUFfc,Transport for London,"14 Pier Walk, London SE10 0ES, UK",51.5009977,0.0063729,Monday: 6:00?AM?�?8:00?PM; Tuesday: 6:00?AM?�?8:00?PM; Wednesday: 6:00?AM?�?8:00?PM; Thursday: 6:00?AM?�?8:00?PM; Friday: 6:00?AM?�?8:00?PM; Saturday: 6:00?AM?�?8:00?PM; Sunday: 6:00?AM?�?8:00?PM,http://www.tfl.gov.uk/,+44 343 222 1234,1.7,120,,https://maps.google.com/?cid=17804159059241910727,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJbQIttUIbdkgRx8GqelUUFfc,9F32G224+9G,"G224+9G London, UK",United Kingdom,SE10 0ES,London,England,Greater London,,,,,,,
20,ChIJx7ZZ7-AHdkgRd6AU30Lvg70,"The National Autistic Society Centre, Greater London,Croydon (Mansfield House)","1A Mansfield Rd, South Croydon CR2 6HP, UK",51.3559223,-0.09698179999999999,,https://www.autism.org.uk/services/community/centres.aspx,,3,2,,https://maps.google.com/?cid=13656021565607026807,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJx7ZZ7-AHdkgRd6AU30Lvg70,9C3X9W43+96,"9W43+96 South Croydon, UK",United Kingdom,CR2 6HP,South Croydon,England,Greater London,,,,,,,
21,ChIJicR_aEMZdkgR15YwL5ldTaU,Enfield National Autistic Society,"58 Melbourne Ave, London N13 4SX, UK",51.61114749999999,-0.1127125,,http://www.enfieldnas.org.uk/,+44 7759 553839,1,1,,https://maps.google.com/?cid=11911279501967922903,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJicR_aEMZdkgR15YwL5ldTaU,9C3XJV6P+FW,"JV6P+FW London, UK",United Kingdom,N13 4SX,London,England,Greater London,,,,,,,
22,ChIJ1eplWiEQdkgRiPzWwNXLqeg,"The National Autistic Society Centre, Greater London (Ladbroke Grove)","National Autistic Society, City Rd, London EC1V 1NH, UK",51.5318295,-0.1047849,Monday: 9:00?AM?�?4:00?PM; Tuesday: 9:00?AM?�?4:00?PM; Wednesday: 9:00?AM?�?4:00?PM; Thursday: 9:00?AM?�?4:00?PM; Friday: 9:00?AM?�?4:00?PM; Saturday: Closed; Sunday: Closed,https://www.autism.org.uk/,+44 20 8962 3010,3.5,8,,https://maps.google.com/?cid=16765155206787169416,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ1eplWiEQdkgRiPzWwNXLqeg,9C3XGVJW+P3,"GVJW+P3 London, UK",United Kingdom,EC1V 1NH,London,England,Greater London,,,,,,,
23,ChIJu7__Z6MEdkgRsrYIB7Bfa_8,Caretrade Charitable Trust,"9 Larcom St, London SE17 1NQ, UK",51.4906105,-0.0964548,Monday: 9:00?AM?�?4:00?PM; Tuesday: 9:00?AM?�?4:00?PM; Wednesday: 9:00?AM?�?4:00?PM; Thursday: 9:00?AM?�?4:00?PM; Friday: 9:00?AM?�?4:00?PM; Saturday: Closed; Sunday: Closed,https://care-trade.org/,+44 20 3375 6288,5,1,,https://maps.google.com/?cid=18404909511816558258,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJu7__Z6MEdkgRsrYIB7Bfa_8,9C3XFWR3+6C,"FWR3+6C London, UK",United Kingdom,SE17 1NQ,London,England,Greater London,,,,,,,
24,ChIJffwz70YxcEERVOR_ApsaRtM,Disability Rights UK,"Here East, 14 E Bay Ln, London E20 3BS, UK",51.5471864,-0.0241134,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.disabilityrightsuk.org/,+44 300 995 0400,4.5,8,,https://maps.google.com/?cid=15223884843436729428,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJffwz70YxcEERVOR_ApsaRtM,9C3XGXWG+V9,"GXWG+V9 London, UK",United Kingdom,E20 3BS,London,England,Greater London,,,,,,,
26,ChIJDxXTaq0udkgRa0DbvizlzeA,Church Farm Ardeley,"Church Farm, Ardeley, Stevenage SG2 7AH, UK",51.926948,-0.0965447,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: 9:00?AM?�?5:00?PM; Sunday: 9:00?AM?�?5:00?PM,http://www.churchfarmardeley.co.uk/,+44 1438 861447,4.4,1084,,https://maps.google.com/?cid=16198855415064903787,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJDxXTaq0udkgRa0DbvizlzeA,9C3XWWG3+Q9,"WWG3+Q9 Stevenage, UK",United Kingdom,SG2 7AH,Stevenage,England,Hertfordshire,,,,,,,
27,ChIJMUj3OFMXdkgRCIV8IBkNpy8,Barnet Mencap,"35 Hendon Ln, London N3 1RT, UK",51.59962729999999,-0.1968054,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.barnetmencap.org.uk/,+44 20 8349 3842,4.5,38,,https://maps.google.com/?cid=3433727642463667464,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJMUj3OFMXdkgRCIV8IBkNpy8,9C3XHRX3+V7,"HRX3+V7 London, UK",United Kingdom,N3 1RT,London,England,Greater London,,,,,,,
28,ChIJ86ZzLYXG2EcRT8fZiVuQf28,Papworth Trust,"Bradbury House, Witchards, Basildon SS16 5BP, UK",51.5656785,0.462082,Monday: 9:00?AM?�?4:30?PM; Tuesday: 9:00?AM?�?4:30?PM; Wednesday: 9:00?AM?�?4:30?PM; Thursday: 9:00?AM?�?4:30?PM; Friday: 9:00?AM?�?4:30?PM; Saturday: Closed; Sunday: Closed,https://www.papworthtrust.org.uk/,+44 1268 663221,4.3,6,,https://maps.google.com/?cid=8034298983081428815,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ86ZzLYXG2EcRT8fZiVuQf28,9F32HF86+7R,"HF86+7R Basildon, UK",United Kingdom,SS16 5BP,Basildon,England,Essex,,,,,,,
29,ChIJVfASQVFDdkgRKkOHKSIz8bw,Sunnyside Rural Trust | Head Office,"Civic Centre, 161-163 High St, Berkhamsted HP4 3HD, UK",51.7599537,-0.5641925,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.sunnysideruraltrust.org.uk/,+44 1442 863364,5,1,,https://maps.google.com/?cid=13614719370336355114,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJVfASQVFDdkgRKkOHKSIz8bw,9C3XQC5P+X8,"QC5P+X8 Berkhamsted, UK",United Kingdom,HP4 3HD,Berkhamsted,England,Hertfordshire,,,,,,,
30,ChIJNcRFtsWv2EcRrcbfB37-F0w,Re-Instate Ltd,"St John's Hall, 194 West St, Erith DA8 1AN, UK",51.4868726,0.1702668,Monday: 8:30?AM?�?5:00?PM; Tuesday: 8:30?AM?�?5:00?PM; Wednesday: 8:30?AM?�?5:00?PM; Thursday: 8:30?AM?�?5:00?PM; Friday: 8:30?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.re-instate.co.uk/,+44 1322 438155,4.6,11,,https://maps.google.com/?cid=5483130888598308525,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJNcRFtsWv2EcRrcbfB37-F0w,9F32F5PC+P4,"F5PC+P4 Erith, UK",United Kingdom,DA8 1AN,Erith,England,Greater London,,,,,,,
31,ChIJn8cAv12q2EcRFG9NhhE5jns,Bromley Mencap,"44 Masons Hill, Bromley BR2 9JG, UK",51.3956077,0.0247862,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,https://www.bromleymencap.org.uk/,+44 20 8466 0790,4.4,8,,https://maps.google.com/?cid=8903116260788498196,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJn8cAv12q2EcRFG9NhhE5jns,9F3292WF+6W,"92WF+6W Bromley, UK",United Kingdom,BR2 9JG,Bromley,England,Greater London,,,,,,,
32,ChIJB5DHiwMbdkgRAvvDPqCHtUc,Elfrida Rathbone Camden,"7 Dowdney Cl, London NW5 2BP, UK",51.5501951,-0.1353796,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.elfridacamden.org.uk/,+44 20 7424 1601,4.3,6,,https://maps.google.com/?cid=5167185269795060482,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJB5DHiwMbdkgRAvvDPqCHtUc,9C3XHV27+3R,"HV27+3R London, UK",United Kingdom,NW5 2BP,London,England,Greater London,,,,,,,
33,ChIJw396h7EcdkgRUhoRRAnoYhk,auticon Ltd,"18 Crucifix Ln, London SE1 3JW, UK",51.50202849999999,-0.0812918,Monday: 9:00?AM?�?6:00?PM; Tuesday: 9:00?AM?�?6:00?PM; Wednesday: 9:00?AM?�?6:00?PM; Thursday: 9:00?AM?�?6:00?PM; Friday: 9:00?AM?�?6:00?PM; Saturday: Closed; Sunday: Closed,http://www.auticon.co.uk/,+44 20 3290 9028,5,1,,https://maps.google.com/?cid=1829279525160163922,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJw396h7EcdkgRUhoRRAnoYhk,9C3XGW29+RF,"GW29+RF London, UK",United Kingdom,SE1 3JW,London,England,Greater London,,,,,,,
34,ChIJez2AcOao2EcRL7mkVFRMdZ8,Greenwich Mencap,"Riverwood, London SE18 4HX, UK",51.4814841,0.0650839,Monday: 9:00?AM?�?3:00?PM; Tuesday: 9:00?AM?�?3:00?PM; Wednesday: 9:00?AM?�?3:00?PM; Thursday: 9:00?AM?�?3:00?PM; Friday: 9:00?AM?�?3:00?PM; Saturday: Closed; Sunday: Closed,https://www.greenwichmencap.org.uk/,+44 20 8305 2245,4.4,9,,https://maps.google.com/?cid=11490173949386733871,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJez2AcOao2EcRL7mkVFRMdZ8,9F32F3J8+H2,"F3J8+H2 London, UK",United Kingdom,SE18 4HX,London,England,Greater London,,,,,,,
35,ChIJd7_GshF1dkgRnbzHG1_2DeY,EmployAbility - Surrey Choices,"Lockwood Hub, Westfield Rd, Guildford GU1 1RR, UK",51.2628947,-0.5654671,Monday: 10:00?AM?�?4:00?PM; Tuesday: 10:00?AM?�?4:00?PM; Wednesday: 10:00?AM?�?4:00?PM; Thursday: 10:00?AM?�?4:00?PM; Friday: 10:00?AM?�?4:00?PM; Saturday: Closed; Sunday: Closed,http://www.surreychoices.com/employability/,+44 1483 806806,,,,https://maps.google.com/?cid=16577176691769064605,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJd7_GshF1dkgRnbzHG1_2DeY,9C3X7C7M+5R,"7C7M+5R Guildford, UK",United Kingdom,GU1 1RR,Guildford,England,Surrey,,,,,,,
36,ChIJ_Ql3baaBdkgR7rgy0k2agUc,Norwood,"80-82 The Broadway, Stanmore HA7 4HB, UK",51.6181919,-0.3082702,Monday: 9:30?AM?�?5:00?PM; Tuesday: 9:30?AM?�?5:00?PM; Wednesday: 9:30?AM?�?5:00?PM; Thursday: 9:30?AM?�?5:00?PM; Friday: 9:30?AM?�?5:00?PM; Saturday: Closed; Sunday: 10:00?AM?�?4:00?PM,http://www.norwood.org.uk/,+44 20 8809 8809,3.9,26,,https://maps.google.com/?cid=5152569107718256878,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ_Ql3baaBdkgR7rgy0k2agUc,9C3XJM9R+7M,"JM9R+7M Stanmore, UK",United Kingdom,HA7 4HB,Stanmore,England,Greater London,,,,,,,
37,ChIJq4Qof3hxdkgRTLs7_BW9cjY,Green Corridor,"Main road nurseries, Stanwell Moor Rd, Longford, Staines TW19 6BS, UK",51.4694248,-0.4929712,Monday: 8:00?AM?�?5:00?PM; Tuesday: 8:00?AM?�?5:00?PM; Wednesday: 8:00?AM?�?5:00?PM; Thursday: 8:00?AM?�?5:00?PM; Friday: 8:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.greencorridor.org.uk/,+44 1753 687236,,,,https://maps.google.com/?cid=3923406127516859212,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJq4Qof3hxdkgRTLs7_BW9cjY,9C3XFG94+QR,"FG94+QR Staines, UK",United Kingdom,TW19 6BS,Staines,England,Greater London,,,,,,,
38,ChIJTeZB4_JtdkgRvz9SWvFJY7c,Rural Activities,"W Drayton Rd, Uxbridge UB8 3JZ, UK",51.5223044,-0.4500322,Monday: 9:00?AM?�?4:00?PM; Tuesday: 9:00?AM?�?4:00?PM; Wednesday: 9:00?AM?�?4:00?PM; Thursday: 9:00?AM?�?4:00?PM; Friday: 9:00?AM?�?4:00?PM; Saturday: 9:00?AM?�?4:00?PM; Sunday: 9:00?AM?�?4:00?PM,https://www.hillingdon.gov.uk/RAGC,+44 1895 443445,4.6,217,,https://maps.google.com/?cid=13214487032586452927,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJTeZB4_JtdkgRvz9SWvFJY7c,9C3XGGCX+WX,"GGCX+WX Uxbridge, UK",United Kingdom,UB8 3JZ,Uxbridge,England,Greater London,,,,,,,
40,ChIJb23FN2EEdkgRbr9hOWhesZY,Inclusion London,"Level 4, 336 Brixton Rd, London SW9 7AA, UK",51.4682006,-0.1128993,Monday: 10:00?AM?�?5:00?PM; Tuesday: 10:00?AM?�?5:00?PM; Wednesday: 10:00?AM?�?5:00?PM; Thursday: 10:00?AM?�?5:00?PM; Friday: 10:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,https://www.inclusionlondon.org.uk/,+44 20 7237 3181,4.8,4,,https://maps.google.com/?cid=10858563978299293550,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJb23FN2EEdkgRbr9hOWhesZY,9C3XFV9P+7R,"FV9P+7R London, UK",United Kingdom,SW9 7AA,London,England,Greater London,,,,,,,
41,ChIJT5R5c3oCdkgRuqcmKaP9_Ac,Providence LINC United Services,"6 Belmont Hill, London SE13 5BD, UK",51.46258150000001,-0.0084709,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,https://plus-services.org/,+44 20 8297 1250,4.2,9,,https://maps.google.com/?cid=575613729608476602,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJT5R5c3oCdkgRuqcmKaP9_Ac,9C3XFX7R+2J,"FX7R+2J London, UK",United Kingdom,SE13 5BD,London,England,Greater London,,,,,,,
