sno,gmaps_place_id,gmaps_name,gmaps_formatted_address,gmaps_latitude,gmaps_longitude,gmaps_opening_hours_weekday_text,gmaps_website,gmaps_phone,gmaps_rating,gmaps_user_ratings_total,gmaps_types,gmaps_business_status,gmaps_editorial_summary,gmaps_url,gmaps_directions_url,gmaps_plus_code_global,gmaps_plus_code_compound,gmaps_utc_offset_minutes,gmaps_photo_reference_1,gmaps_addr_country,gmaps_addr_postal_code,gmaps_addr_postal_town,gmaps_addr_admin_area_level_1,gmaps_addr_admin_area_level_2,postcode_norm,gmaps_postcode_norm,likely_match,description_short,Description,city,region,local_authority,service_area,age_range,conditions_supported,specific_services,physical_access,organization_type,status,last_verified,llm_error
731,11,NAS Southwark Branch,,51.5028658,-0.087204,,,07747 768536,,,,,,,,,,,,,,,,,,,,"NAS Southwark Branch
Contact Address
Pamela Douglas, Branch Officer,                             tel: 07747 768536,","NAS Southwark Branch
Contact Address
Pamela Douglas, Branch Officer,                             tel: 07747 768536,, email: southwark@nas.org.uk",,,,,,,,,,,,
732,12,NAS Surrey Autism Resource Centre,,51.1882843,-0.618454000000042,,https://nassurreybranch.org,,,,,,,,,,,,,,,,,,,,,"The Resource centre currently runs: :
-Therapy groups: Lego Therapy in Godalming and Social Skills groups in Hersham and Godalming for ages 5-15years;
-Leisure Opportunity Project for 18+ with complex needs;
-ASpire Social Skills Group (18+ with Asperger syndrome; the centre is based at Godalming but service users come from throughout Surrey;
-ASSIST project (16+ Asperger Syndrome, based at Godalming extending in West Sussex;
-Saturday Morning Club (to be confirmed). Please contact Resource Centre Manager for more information on each project.
http://www.nassurreybranch.org/
Telephone number: 01483 521 743
Email: SEresourcecentres@nas.org.uk
Helen Dunkley
Resource Centre Manager
Godalming
Surrey
GU7","The Resource centre currently runs: :
-Therapy groups: Lego Therapy in Godalming and Social Skills groups in Hersham and Godalming for ages 5-15years;
-Leisure Opportunity Project for 18+ with complex needs;
-ASpire Social Skills Group (18+ with Asperger syndrome; the centre is based at Godalming but service users come from throughout Surrey;
-ASSIST project (16+ Asperger Syndrome, based at Godalming extending in West Sussex;
-Saturday Morning Club (to be confirmed). Please contact Resource Centre Manager for more information on each project.
http://www.nassurreybranch.org/
Telephone number: 01483 521 743
Email: SEresourcecentres@nas.org.uk
Helen Dunkley
Resource Centre Manager
Godalming
Surrey
GU7, -5 Children's clubs Godalming, Reigate x 2, Walton on Thames & Woking for ages 5-13years. -Youth clubs 13-18 years, Woking, Staines, Reigate, Epsom Ash Guildford and Newbury,",,,,,,,,,,,,
733,13,NAS Sutton Branch,,51.3573721,-0.1751952,,https://sutton.webeden.co.uk,,,,,,,,,,,,,,,,,,,,,"NAS Sutton Branch
Contact Address
http://www.sutton.webeden.co.uk
Description
NAS Sutton is run by parents of young children on the spectrum. They are there to support parents, families, carers and professionals who work with children with autism spectrum disorder (ASD). At the moment, they are a small that can provide information and signposting to both local and national support networks. They run regular coffee mornings with guest speakers, so members can get together and meet others in similar positions. Their branch website contains details of all local organisations who provide support for families and there is an active Facebook Group that gives up to date information on everything that is going on in the local area.","NAS Sutton Branch
Contact Address
http://www.sutton.webeden.co.uk
Description
NAS Sutton is run by parents of young children on the spectrum. They are there to support parents, families, carers and professionals who work with children with autism spectrum disorder (ASD). At the moment, they are a small that can provide information and signposting to both local and national support networks. They run regular coffee mornings with guest speakers, so members can get together and meet others in similar positions. Their branch website contains details of all local organisations who provide support for families and there is an active Facebook Group that gives up to date information on everything that is going on in the local area., Rachael Phillips, Branch Officer, email: sutton@nas.org.uk",,,,,,,,,,,,
734,14,NAS Thurrock Branch,,51.4778987,0.276080699999966,,https://nasthurrock.btck.co.uk,,,,,,,,,,,,,,,,,,,,,"email: nasthurrock.group@nas.org.uk
NAS Thurrock Group provides support and information to families and carers of children with autism and campaigns for better local services for those living with autism in Thurrock. The support group organises regular meetings, fun activities, clubs, days out and social events plus raises awareness in Thurrock schools, Health services and workplaces.","email: nasthurrock.group@nas.org.uk
NAS Thurrock Group provides support and information to families and carers of children with autism and campaigns for better local services for those living with autism in Thurrock. The support group organises regular meetings, fun activities, clubs, days out and social events plus raises awareness in Thurrock schools, Health services and workplaces., http://nasthurrock.btck.co.uk/",,,,,,,,,,,,
735,15,NAS West London Branch,,51.4912171,-0.2233315,,www.nasbranch.org.uk/westlondon,07436 802 632,,,,,,,,,,,,,null,,,,,,,"Contact Claire O'Connor, Branch Officer,
tel: 07436 802 632,
email: NASWestLondonBranch@nas.org.uk
www.nasbranch.org.uk/westlondon","Contact Claire O'Connor, Branch Officer,
tel: 07436 802 632,
email: NASWestLondonBranch@nas.org.uk
www.nasbranch.org.uk/westlondon, NAS West London Branch",,,,,,,,,,,,
736,16,AS Mentoring,,51.5083752,-0.3056431,,https://asmentoring.co.uk,,,,,,,,,,,,,,,,,,,,,"Our Mission is to support our clients to achieve their potential as individuals and to facilitate their social inclusion through employment.
https://asmentoring.co.uk/
There are a range of services including:
For Individuals:
Pre-employment support,
Workplace support and Coaching,
For Employers:
Recruitment, Consultancy, Management,
For Families, Individuals and Employers:
Various Workshops run throughout the year.
https://asmentoring.co.uk/what-we-do
Locations
The AS Mentoring team are based in 3 areas of the UK: London, Surrey and Birmingham.
We are very aware of the need for specialist support across the UK and further so we do work with clients remotely via Skype, phone-calls, email or a combination of all. If there is a need, staff can travel to other areas of the UK on an ad-hoc basis for Workplace Support and Coaching; this is something we'd be happy to discuss with you individually.","Our Mission is to support our clients to achieve their potential as individuals and to facilitate their social inclusion through employment.
https://asmentoring.co.uk/
There are a range of services including:
For Individuals:
Pre-employment support,
Workplace support and Coaching,
For Employers:
Recruitment, Consultancy, Management,
For Families, Individuals and Employers:
Various Workshops run throughout the year.
https://asmentoring.co.uk/what-we-do
Locations
The AS Mentoring team are based in 3 areas of the UK: London, Surrey and Birmingham.
We are very aware of the need for specialist support across the UK and further so we do work with clients remotely via Skype, phone-calls, email or a combination of all. If there is a need, staff can travel to other areas of the UK on an ad-hoc basis for Workplace Support and Coaching; this is something we'd be happy to discuss with you individually., Specialist Coaching and Mentoring for adults with Autism Spectrum Conditions and other neurodiverse conditions.",,,,,,,,,,,,
737,17,Autism Employment Alliance,,51.5073509,-0.127758299999982,,https://autism-alliance.org.uk/about-us/our-members,,,,,,,,,,,,,,,,,,,,,https://www.autism-alliance.org.uk/about-us/our-members,"https://www.autism-alliance.org.uk/about-us/our-members, Autism Employment Alliance of 17 different national charities the UK.",,,,,,,,,,,,
738,18,Dimensions- Supported employment,,51.5073509,-0.127758299999982,,https://dimensions-uk.org/what-we-do/supported-employment,,,,,,,,,,,,,,,,,,,,,"Work means far more than money and productivity; it means self-esteem, confidence and social opportunities.
Many people are informally supported into employment by Dimensions as part of their support plans.
https://www.dimensions-uk.org/what-we-do/supported-employment/
Our Supported Employment team provides expert advice and job coaching for people with learning disabilities and autism to gain employment.
https://www.dimensions-uk.org/feature/2015/explosive-dream-job-man-autism/
email: alexandra.seddon@dimensions-uk.org","Work means far more than money and productivity; it means self-esteem, confidence and social opportunities.
Many people are informally supported into employment by Dimensions as part of their support plans.
https://www.dimensions-uk.org/what-we-do/supported-employment/
Our Supported Employment team provides expert advice and job coaching for people with learning disabilities and autism to gain employment.
https://www.dimensions-uk.org/feature/2015/explosive-dream-job-man-autism/
email: alexandra.seddon@dimensions-uk.org, People who are supported into employment by Dimensions have real jobs, where they can fulfill their employment aspirations and achieve social and economic inclusion.",,,,,,,,,,,,
739,19,Employability,,51.5073509,-0.127758299999982,,https://employ-ability.org.uk,+44(0)7852 764 684,,,,,,,,,,,,,,,,,,,,"Opportunities for disabled and dyslexic students and graduates.
Whether you are a student or graduate with a disability, or an employer looking for highly talented candidates from diverse backgrounds, or a university representative wanting to widen your links on behalf of your disabled students – register with us today, or get in touch.
Tel: +44(0)7852 764 684
email: info@employ-ability.org.uk","Opportunities for disabled and dyslexic students and graduates.
Whether you are a student or graduate with a disability, or an employer looking for highly talented candidates from diverse backgrounds, or a university representative wanting to widen your links on behalf of your disabled students – register with us today, or get in touch.
Tel: +44(0)7852 764 684
email: info@employ-ability.org.uk, https://www.employ-ability.org.uk/",,,,,,,,,,,,
740,20,"Scope- 
Future Ambitions Employment service",,51.5073509,-0.127758299999982,,https://scope.org.uk/futureambitions,,,,,,,,,,,,,,,,,,,,,"Future Ambitions is an Employment service aimed at supporting young disabled people aged 16 to 25 in Hackney, Islington, Newham and Tower Hamlets into long term sustainable employment.
Working in Partnership
Future Ambitions wants to support organisations to help them engage with more young disabled people, if you would like more information please email future@scope.org.uk
https://www.scope.org.uk/futureambitions","Future Ambitions is an Employment service aimed at supporting young disabled people aged 16 to 25 in Hackney, Islington, Newham and Tower Hamlets into long term sustainable employment.
Working in Partnership
Future Ambitions wants to support organisations to help them engage with more young disabled people, if you would like more information please email future@scope.org.uk
https://www.scope.org.uk/futureambitions, Following the success of First Impressions, First Experiences, supported by the Credit Suisse EMEA Foundation, Scope has launched Future Ambitions. This new service is tailored to the individual, providing each customer with one to one support from a specialist Employment Advisor to understand their career goals and aspirations and how to achieve them.",,,,,,,,,,,,
741,21,Uptimize Online Employability Training,,51.5073509,-0.127758299999982,,https://uptimize.com,,,,,,,,,,,,,,,,,,,,,"Neurodivergent individuals can bring unique and valuable skills to the workplace – from the attention to detail and data-driven thinking typical of people with autism, to the creativity and insight associated with people with dyslexia, dyspraxia and ADHD.
Uptimize courses teach you everything you need to know to impress employers. Get hired & advance your career with our online employability training.
Website: http://www.uptimize.com","Neurodivergent individuals can bring unique and valuable skills to the workplace – from the attention to detail and data-driven thinking typical of people with autism, to the creativity and insight associated with people with dyslexia, dyspraxia and ADHD.
Uptimize courses teach you everything you need to know to impress employers. Get hired & advance your career with our online employability training.
Website: http://www.uptimize.com, Our best-in-class online video training is designed specifically to unlock the potential of the neurodiverse workforce. Our vision is world where neurodiversity is universally championed, and where organizations thrive thanks to their neurodiverse teams. We are excited to be on a journey and to be collaborating with other like-minded organizations, to make that vision a reality.",,,,,,,,,,,,
742,22,Barnet- Kisharon Adult employment programme,"25 Bell Lane,
London NW4 2BP",51.5868018,-0.219027200000028,,https://kisharon.org.uk/our-services/opportunity/employment/supported-employ-ment-at-kisharon,02082025540,,,,,,,,,,,,,NW4 2BP,,,,,,,"Kisharon’s adult employment programme is a creative and enterprising way to bring together adults with an untapped skill-set with businesses requiring staff and offering a friendly and supportive environment for their workforce.
Tel: 020 8202 5540
25 Bell Lane, London NW4 2BP
Opening hours: Mon-Thurs 8.30-5.30pm.
Fri 8.30-3.30pm (1pm winter). Sunday 9.30-1pm.
http://www.kisharon.org.uk/our-services/opportunity/employment/supported-employ-ment-at-kisharon/","Kisharon’s adult employment programme is a creative and enterprising way to bring together adults with an untapped skill-set with businesses requiring staff and offering a friendly and supportive environment for their workforce.
Tel: 020 8202 5540
25 Bell Lane, London NW4 2BP
Opening hours: Mon-Thurs 8.30-5.30pm.
Fri 8.30-3.30pm (1pm winter). Sunday 9.30-1pm.
http://www.kisharon.org.uk/our-services/opportunity/employment/supported-employ-ment-at-kisharon/, Email: albc@kisharon.org.uk",,,,,,,,,,,,
743,23,Barnet- Norwood Catering Scheme,"Kennedy Leigh Centre,
Edgeworth Cl,
London
NW4 4HJ",51.5845549,-0.238062099999979,,https://norwood.org.uk/Page/Workskills-and-Employment,02088098809,,,,,,,,,,,,,NW4 4HJ,,,,,,,"http://www.norwood.org.uk/Page/Workskills-and-Employment
Tel: 020 8809 8809
Email: info@norwood.org.uk
Kennedy Leigh Centre
Edgeworth Cl,
London
NW4 4HJ","http://www.norwood.org.uk/Page/Workskills-and-Employment
Tel: 020 8809 8809
Email: info@norwood.org.uk
Kennedy Leigh Centre
Edgeworth Cl,
London
NW4 4HJ, Catering qualifications at a Norwood Cafe. At our Kennedy Leigh Centre in Hendon and Ravenswood Village in Berkshire, our cafes support trainees with learning disabilities to develop catering skills. These eight – twelve week taster courses enable trainees to gain valuable skills and real work experience, with the aim of going on to obtain paid work within the catering industry.",,,,,,,,,,,,
744,24,Barnet Work Choice,"Ocean House Business Centre,
3 Ocean House,
Bentley Way",51.6508448,-0.174524799999972,,,03002471222,,,,,,,,,,,,,Barnet,,,,,,,"Address
Ocean House Business Centre, 3 Ocean House, Bentley Way
Barnet
Hertfordshire
Tel: 03002 472122","Address
Ocean House Business Centre, 3 Ocean House, Bentley Way
Barnet
Hertfordshire
Tel: 03002 472122, Specialist support for people with disabilities to find and stay in work.",,,,,,,,,,,,
745,25,Brixton - Work Programme & Volunteers,"2-6 Atlantic Road,
Brixton,
London
SW9 8HY",51.462924,-0.114458000000013,,,0800 0853246,,,,,,,,,,,,,SW9 8HY,,,,,,,"Shaw Trust
2-6 Atlantic Road
Brixton
London
SW9 8HY
Tel: 0800 0853246","Shaw Trust
2-6 Atlantic Road
Brixton
London
SW9 8HY
Tel: 0800 0853246, Specialist support for people with disabilities to find and stay in work. Day one support for Young People Trailbrazer. Volunteers.",,,,,,,,,,,,
