source,source_id,name,category,subcategory,description_short,description_full,website,phone,email,facebook,other_contact,full_address,postcode,city,region,local_authority,service_area,days_open,opening_hours,appointment_needed,response_time,cost_type,specific_cost,insurance_accepted,financial_assistance,age_range,conditions_supported,referral_required,diagnosis_required,specific_services,physical_access,communication_access,sensory_friendly,organization_type,neurodivergent_led,cqc_rating,status,last_verified,verified_by,data_source,internal_notes,latitude,longitude,coordinates,content
compiled_resources,11,Samaritans,Crisis & Emergency,Crisis Hotline,24/7 emotional support for anyone in distress. Completely confidential non-judgemental listening service.,Samaritans provides 24/7 confidential emotional support to anyone in emotional distress or at risk of suicide. Free to call from any phone.,https://samaritans.org,+116123,jo@samaritans.org,,Face-to-face support at local branches,National service - local branches available,N/A,National,UK-wide,National,National,24/7,24:00hours every day,No - immediate support,"Immediate (phone), 24hrs (email)",Free (Charity/Volunteer),£0 - Free from any phone,N/A,N/A - free service,All ages,"All (mental health, emotional distress)",Self-referral,No,"Crisis Support, Emotional support, Suicide prevention, Non-judgemental listening",Phone service + face-to-face branches,Phone email face-to-face Welsh language,Phone allows you to control environment,Charity/Non-profit,Unknown,N/A,Active & Verified,03/10/2025,Manus AI,Samaritans website,Essential crisis resource. 116 123 free from all phones.,,,,
compiled_resources,12,Shout Crisis Text Line,Crisis & Emergency,Crisis Text Support,Text-based crisis support available 24/7. Free confidential service.,Text-based crisis support providing 24/7 confidential help via text message. Ideal for those who prefer non-verbal communication.,https://giveusashout.org,,,,Text SHOUT to 85258,Text service - no physical location,N/A,National,UK-wide,National,National,24/7,24:00hours every day,No - immediate support,Immediate response,Free (Charity/Volunteer),£0 - Free text service,N/A,N/A - free service,All ages,"All (mental health, emotional distress)",Self-referral,No,"Crisis Support, Text-based support, Emotional support",N/A - text service,Text messaging,Home environment - user controls,Charity/Non-profit,Unknown,N/A,Active & Verified,03/10/2025,Manus AI,Shout website,24/7 free confidential text support. Ideal for neurodivergent users preferring non-verbal communication.,,,,
compiled_resources,13,CNWL - Mental Health Crisis Line,Crisis & Emergency,NHS Mental Health Crisis Line,24/7 NHS helpline for urgent mental health support in North West London.,Single Point of Access for mental health crisis support in North West London. 24/7 service for children and adults.,https://cnwl.nhs.uk/patients-and-carers/help-mental-health-crisis,+448000234650,cnw-tr.spa@nhs.net,,Via NHS 111 (select mental health option),Phone service - no physical location,N/A,London,England - London,Brent,"Brent, Harrow, Hillingdon, Kensington and Chelsea, Westminster",24/7,24:00hours every day,No - immediate support,Immediate response,Free (NHS),£0 - Free to call,N/A,N/A - free service,All ages,"All (mental health, emotional distress)",Self-referral,No,"Crisis Support, Mental Health Triage, Urgent Referral, Emotional Support",N/A - phone service,Phone,Phone allows you to control environment,NHS Service,Unknown,Good,Active & Verified,03/10/2025,Manus AI,CNWL website,Primary local NHS crisis line for North West London boroughs.,,,,
compiled_resources,14,National Autistic Society Helpline,Crisis & Emergency,Helpline / Information Service,Free confidential advice and support for autistic people families and carers.,National Autistic Society helpline providing advice support and signposting for autism-related concerns. Not a crisis service.,https://autism.org.uk/contact-us/urgent-help,+448088004104,,,Minicom for deaf/hard of hearing,"393 City Road, London, EC1V 1NG",EC1V 1NG,London,England - London,Islington,National (UK-wide),"Monday, Tuesday, Wednesday, Thursday, Friday","Mon-Thu 10:00-16:00, Fri 09:00-15:00",No - immediate support,"Immediate (phone), 24hrs (email)",Free (Charity/Volunteer),£0 - Free call,N/A,N/A - free service,All ages,Autism/ASC,Self-referral,No - self-identification OK,"Information & Advice, Signposting to local services, Emotional support",N/A - phone/online service,"Phone, email, online form, minicom",N/A - remote service,Charity/Non-profit,Some ND staff,N/A,Active & Verified,03/10/2025,Manus AI,National Autistic Society website,Major national charity. NOT a crisis service - for information and advice.,,,,
compiled_resources,15,NHS 111,Crisis & Emergency,NHS Non-Emergency Line,Non-emergency medical advice and mental health support available 24/7.,NHS 111 provides 24/7 non-emergency medical advice with mental health option available.,https://111.nhs.uk,+111,,,Online symptom checker available,Phone and online service,N/A,National,UK-wide,National,National,24/7,24:00hours every day,No - immediate support,Immediate response,Free (NHS),£0 - Free to call,N/A,N/A - free service,All ages,"All (medical, mental health)",Self-referral,No,"Non-emergency medical advice, Mental health support, Service signposting",N/A - phone/online service,"Phone, online, textphone, BSL video calls",Accessibility features available,NHS Service,Unknown,Good,Active & Verified,03/10/2025,Manus AI,NHS website,Select Option 2 for mental health. Textphone and translation services available.,,,,
compiled_resources,16,London Autism Group Charity,Community Support,Local Support Group / Charity,Support for autistic people family carers professionals and organizations in London.,London-based charity led by autistic people providing community support mental health support and social inclusion initiatives.,https://londonautismgroupcharity.org,,,,,Various community locations across London,Various,London,England - London,Various,London and surrounding counties,Varies by event,"Monthly activity days, community cafes",Varies by event,Check website for event details,Free (Charity/Volunteer),£0 - Free events,N/A,N/A - free service,All ages,Autism/ASC,Self-referral,No - self-identification OK,"Community cafes, Monthly activity days, Mental health support, Social inclusion",Varies by venue - check for each event,"In-person, social media, website",Events designed to be autism-friendly,Charity/Non-profit,Yes - Led by autistic people,N/A,Active - Needs Verification,03/10/2025,Manus AI,London Autism Group website,Led by autistic people and allies. Monthly events at Holy Sepulchre Church London.,,,,
compiled_resources,17,Centre for ADHD and Autism Support (CAAS),Community Support,Local Support Group / Charity,Support groups workshops and social groups for ADHD and autistic individuals in North-West London.,Established charity providing comprehensive support for ADHD and autistic individuals and families. Multiple support groups and workshops available.,https://adhdandautism.org,+442045684629,adults@adhdandautism.org,,Online contact form,"269 Field End Road, Eastcote, Middlesex HA4 9XA",HA4 9XA,London,England - London,Hillingdon,North-West London,"Monday, Tuesday, Wednesday, Thursday, Friday",Varies by group/workshop,Yes for some services,1-3 working days,Mixed (Charity),Most support groups free. Some workshops may have fees.,No,Bursaries may be available,All ages,"ADHD, Autism/ASC",Self-referral,No - support available pre/during/post diagnosis,"Parent Support Groups, Adult Support Groups, Workshops, Social groups, Individual support",Varies by venue - main centre is accessible,"Phone, email, online groups, in-person",Groups designed to be sensory-friendly,Charity/Non-profit,Yes - Significant ND involvement,N/A,Active & Verified,03/10/2025,Manus AI,CAAS website,Established 1996. Comprehensive range of support services. Drop-in sessions available.,,,,
compiled_resources,18,London Neurodivergent Friendship Group (LNFG),Community Support,Local Support Group / Charity,Consciously shame-free community for neurodivergent adults to build authentic friendships.,Community group founded in 2022 providing shame-free social opportunities for neurodivergent adults across London.,https://lnfg.uk,,,,,Various venues across London,Various,London,England - London,Various,London,"Weekly events, bi-monthly celebrations",Varies by event - weekly smaller events,No - drop-in welcome,Check website for event updates,Free (Community Group),£0 - Free events,N/A,N/A - free service,Adults (18+),All neurodivergent conditions,Self-referral,No - self-identification OK,"Social events, Friendship building, Community support, Sensory-friendly activities",Venues chosen for accessibility,"In-person events, website updates",Sensory-friendly venues with quiet spaces,Community Group,Yes - Neurodivergent-led,N/A,Active - Needs Verification,03/10/2025,Manus AI,LNFG website,Founded 2022 by Jeanie Gee. No masking required. Flexible attendance.,,,,
compiled_resources,19,London Adult ADHD Support Group,Community Support,Local Support Group / Charity,Support group for adults with ADHD meeting monthly in Central London.,AADDUK-affiliated support group meeting twice monthly in Central London for adults with ADHD.,,,,,,"Costa Coffee, Argyll Street, W1F 7TH",W1F 7TH,London,England - London,Westminster,Central London,"First Tuesday, Third Thursday of each month",Varies - check with group,No - drop-in welcome,Check AADDUK website,Free (Charity/Volunteer),£0 - Free meetings,N/A,N/A - free service,Adults (18+),ADHD,Self-referral,No,"Peer support, Information sharing, Social connection",Venue accessibility varies,In-person meetings,Coffee shop environment,Charity/Non-profit (AADDUK),Unknown,N/A,Active - Needs Verification,03/10/2025,Manus AI,AADDUK website,First Tuesday and third Thursday monthly. AADDUK affiliated.,,,,
compiled_resources,20,Atypiqueers,Community Support,Local Support Group / Charity,Only peer-led LGBT+ neurodiverse support group in London.,Unique peer-led support group specifically for LGBT+ neurodivergent individuals in London.,https://atypiqueers.org,,,,,Various venues in London,Various,London,England - London,Various,London,Varies by event,Varies by event,Varies by event,Check website for updates,Free (Community Group),£0 - Free events,N/A,N/A - free service,All ages,All neurodivergent conditions (LGBT+ focus),Self-referral,No,"Support meetings, Community events, Peer support",Varies by venue,"In-person meetings, website",Designed for neurodivergent needs,Community Group,Yes - Peer-led,N/A,Active - Needs Verification,03/10/2025,Manus AI,Atypiqueers website,Only peer-led LGBT+ neurodiverse support group in London.,,,,
compiled_resources,21,Camden SEN Team,Education Support,Local Authority SEND Team,Education Health and Care Plan assessments and SENCO advisory support for Camden.,Camden Council's SEND team providing EHC assessments SENCO support and statutory assessments for children and young people.,https://camden.gov.uk/special-educational-needs,+442079746500,sen.enquiries@camden.gov.uk,,SEND Local Offer website,"Town Hall, Judd Street, London WC1H 9JE",WC1H 9JE,London,England - London,Camden,Camden,"Monday, Tuesday, Wednesday, Thursday, Friday",09:00-17:00,Both options available,5 working days,Free (Local Authority),£0 - Council service,N/A,N/A - free service,"Children (0-11), Young People (12-17), up to 25 for SEND","ADHD, Autism/ASC, All neurodivergent conditions",Self-referral (parents can contact),No - support available without formal diagnosis,"EHCP Support, School placement advice, SENCO referrals, Information and advice",Wheelchair accessible (Town Hall),"Phone, email, written, in-person meetings",Accessibility accommodations available,Local Authority,Unknown,N/A,Active - Needs Verification,03/10/2025,Manus AI,Camden Council website,Main gateway for SEND in Camden. Local Offer has comprehensive information.,,,,
compiled_resources,22,Tower Hamlets Special Educational Needs Section,Education Support,Local Authority SEND Team,EHC needs assessments and statutory assessments for Tower Hamlets residents.,Tower Hamlets Council's SEN section providing EHC assessments statutory assessments and SENCO support.,https://towerhamlets.gov.uk/lgnl/education_and_learning/parental_support/special_educational_needs,+442073644880,specialeducational.needs@towerhamlets.gov.uk,,SENCO Resource Hub available,"Tower Hamlets Town Hall, 160 Whitechapel Road, London E1 1BJ",E1 1BJ,London,England - London,Tower Hamlets,Tower Hamlets,"Monday, Tuesday, Wednesday, Thursday, Friday",09:00-17:00,Both options available,5 working days,Free (Local Authority),£0 - Council service,N/A,N/A - free service,"Children (0-11), Young People (12-17), up to 25 for SEND","ADHD, Autism/ASC, All neurodivergent conditions",Self-referral (parents can contact),No - support available without formal diagnosis,"EHCP Support, Statutory assessments, SENCO support, Information and advice",Wheelchair accessible,"Phone, email, written, in-person meetings",Accessibility accommodations available,Local Authority,Unknown,N/A,Active & Verified,03/10/2025,Manus AI,Tower Hamlets Council website,SENCO Resource Hub available for professionals. Fax: 020 7364 4303.,,,,
compiled_resources,23,Hammersmith & Fulham SENCo Advisory Support,Education Support,Local Authority SEND Team,Consultancy service providing advice and support to SENCOs in Hammersmith & Fulham.,Local authority service providing consultancy advice and support to SENCOs with resources and training.,https://lbhf.gov.uk/family-information-directory/senco-advisory-support,,,,,Hammersmith & Fulham Council offices,Various,London,England - London,Hammersmith & Fulham,Hammersmith & Fulham,"Monday, Tuesday, Wednesday, Thursday, Friday",09:00-17:00,Yes for consultancy,Varies,Free (Local Authority),£0 - Council service,N/A,N/A - free service,SENCOs and education professionals,All neurodivergent conditions,Professional referral,No,"SENCO consultancy, Resources, Training, Forums",Council offices accessible,"Phone, email, in-person consultancy",Accessibility accommodations available,Local Authority,Unknown,N/A,Active - Needs Verification,03/10/2025,Manus AI,LBHF website,SENCO resources including OAP checklists policy documents and training.,,,,
compiled_resources,24,Ealing SEN Assessment Service,Education Support,Local Authority SEND Team,SEN assessments and support services for Ealing residents.,Ealing Council's SEN Assessment Service providing statutory assessments and support for children and young people with SEND.,https://ealing.gov.uk/info/201209/children_with_send_or_a_disability/2110/special_educational_needs_and_disability_send,+442088256910,senas@ealing.gov.uk,,,Ealing Council offices,Various,London,England - London,Ealing,Ealing,"Monday, Tuesday, Wednesday, Thursday, Friday",09:00-17:00,Both options available,Varies,Free (Local Authority),£0 - Council service,N/A,N/A - free service,"Children (0-11), Young People (12-17), up to 25 for SEND",All neurodivergent conditions,Self-referral (parents can contact),No,"SEN assessments, Support services, Information and advice",Council offices accessible,"Phone, email, written",Accessibility accommodations available,Local Authority,Unknown,N/A,Active - Needs Verification,03/10/2025,Manus AI,Ealing Council website,SEN Assessment Service with statutory assessment responsibilities.,,,,
compiled_resources,25,Southwark Special Educational Needs Team,Education Support,Local Authority SEND Team,SEN team support for children and young people aged 0-25 with SEND in Southwark.,Southwark Council's SEN team providing support for children and young people with SEND including SENCO advisory services.,https://localoffer.southwark.gov.uk/education/specialist-services-offered-by-the-council/special-educational-needs-team,,,,,Southwark Council offices,Various,London,England - London,Southwark,Southwark,"Monday, Tuesday, Wednesday, Thursday, Friday",09:00-17:00,Both options available,Varies,Free (Local Authority),£0 - Council service,N/A,N/A - free service,"Children (0-11), Young People (12-17), up to 25 for SEND",All neurodivergent conditions,Self-referral (parents can contact),No,"SEN team support, SENCO advisory services, CENMAC specialist support",Council offices accessible,"Phone, email, written",Accessibility accommodations available,Local Authority,Unknown,N/A,Active - Needs Verification,03/10/2025,Manus AI,Southwark Council website,CENMAC specialist team for communication and learning barriers.,,,,
compiled_resources,26,Sybil Elgar School (National Autistic Society),Education Support,SEN School,Specialist day school for children and young people with Autism Spectrum Disorder in West London.,Outstanding Ofsted-rated specialist school for autism with over 50 years of experience. Ages 4½ to 22.,https://autism.org.uk/our-schools/sybil-elgar,,,,,Ealing West London,Various,London,England - London,Ealing,West London,"Monday, Tuesday, Wednesday, Thursday, Friday",School hours,Yes - EHCP required,Varies - contact school,Private / Self-funded (or LA funded),Varies - contact school,No,LA funding available with EHCP,Ages 4½ to 22,Autism/ASC,Local authority placement,EHCP with autism diagnosis required,"Specialist autism education, Life skills development, Transition support",Wheelchair accessible,"Phone, email, in-person",Autism-specific environment,Charity/Non-profit (NAS),Some ND staff,Outstanding (Ofsted),Active & Verified,03/10/2025,Manus AI,National Autistic Society website,Outstanding Ofsted rating. Over 50 years experience in autism education.,,,,
compiled_resources,27,Lavender Lodge School,Education Support,SEN School,Independent specialist day school for children with Autism and additional needs such as ADHD.,Good Ofsted-rated independent specialist school for autism and ADHD. Ages 4-12 in South London.,https://witherslackgroup.co.uk/our-locations/our-schools/lavender-lodge-school,+442086877050,,,Out of term: 0800 304 7244,"224 London Road, Mitcham, CR4 3HD",CR4 3HD,London,England - London,Merton,South London,"Monday, Tuesday, Wednesday, Thursday, Friday",School hours,Yes - EHCP required,Contact school for availability,Private / Self-funded (or LA funded),Contact school for fees,No,LA funding available with EHCP,Ages 4-12,"Autism/ASC, ADHD, MLD, SLD, SLCN",Local authority placement,EHCP required,"Specialist autism and ADHD education, Speech and language support, Sensory support",Wheelchair accessible,"Phone, email, virtual tour available",Autism and ADHD-friendly environment,Private School,Unknown,Good (Ofsted),Active & Verified,03/10/2025,Manus AI,Witherslack Group website,Head Teacher: Lorraine Titchener. Virtual tour available.,,,,
compiled_resources,28,BeyondAutism Tram House School,Education Support,SEN School,Specialist school for children and young adults with autism in South-West London.,Specialist autism school empowering children with choice independence and opportunity.,https://beyondautismschools.org.uk/tramhouse,,,,,South-West London,Various,London,England - London,Various,South-West London,"Monday, Tuesday, Wednesday, Thursday, Friday",School hours,Yes - EHCP required,Contact school,Private / Self-funded (or LA funded),Contact school,No,LA funding available with EHCP,Various ages,Autism/ASC,Local authority placement,EHCP with autism diagnosis required,"Specialist autism education, Independence skills, Choice and opportunity focus",Wheelchair accessible,"Phone, email, in-person",Autism-specific environment,Charity/Non-profit,Some ND staff,Good,Active - Needs Verification,03/10/2025,Manus AI,BeyondAutism website,Part of BeyondAutism network. Focus on empowerment and independence.,,,,
compiled_resources,29,Centre Academy London,Education Support,SEN School,Specialist school for children with learning difficulties including ADHD and autism.,Specialist school for ages 11-19 with focus on eliminating anxiety common to SEN students.,https://centreacademy.net,,,,,South-West London,Various,London,England - London,Various,South-West London,"Monday, Tuesday, Wednesday, Thursday, Friday",School hours,Yes - EHCP required,Contact school,Private / Self-funded (or LA funded),Contact school,No,LA funding available with EHCP,Ages 11-19,"ADHD, Autism/ASC, Dyslexia, Dyspraxia, Learning difficulties",Local authority placement,EHCP required,"Specialist education, Anxiety reduction focus, Broad age range support",Wheelchair accessible,"Phone, email, in-person",SEN-friendly environment,Private School,Unknown,Good,Active - Needs Verification,03/10/2025,Manus AI,Centre Academy website,Ages 11-19. Focus on eliminating anxiety common to SEN students.,,,,
compiled_resources,30,Exceptional Individuals,Employment Support,Neurodivergent Employment Service,Neurodivergent recruitment and employment support providing career training and in-work support.,London-based organization providing comprehensive employment support for neurodivergent individuals including recruitment career training and workplace support.,https://exceptionalindividuals.com/candidates,+442081336046,,,Online contact form,London-based service,Various,London,England - London,Various,London-based,"Monday, Tuesday, Wednesday, Thursday, Friday",09:00-17:00,Yes for individual support,1-3 working days,Mixed (some free some paid),CV and basic support free. Coaching may have fees.,No,Some bursaries available,Adults (18+),"Dyslexia, Dyspraxia, ADHD, Autism/ASC",Self-referral,No - support available pre/during/post diagnosis,"CV preparation, Career training, In-work support, Job matching, Workplace coaching",Office accessible,"Phone, email, online, in-person",Neurodivergent-friendly environment,Private Company,Some ND staff,N/A,Active & Verified,03/10/2025,Manus AI,Exceptional Individuals website,Specialisms: Dyslexia Dyspraxia ADHD Autism. CV and interview preparation.,,,,
