sno,gmaps_place_id,gmaps_name,gmaps_formatted_address,gmaps_latitude,gmaps_longitude,gmaps_opening_hours_weekday_text,gmaps_website,gmaps_phone,gmaps_rating,gmaps_user_ratings_total,gmaps_types,gmaps_business_status,gmaps_editorial_summary,gmaps_url,gmaps_directions_url,gmaps_plus_code_global,gmaps_plus_code_compound,gmaps_utc_offset_minutes,gmaps_photo_reference_1,gmaps_addr_country,gmaps_addr_postal_code,gmaps_addr_postal_town,gmaps_addr_admin_area_level_1,gmaps_addr_admin_area_level_2,postcode_norm,gmaps_postcode_norm,likely_match,description_short,Description,city,region,local_authority,service_area,age_range,conditions_supported,specific_services,physical_access,organization_type,status,last_verified,llm_error
734,14,NAS Thurrock Branch,,51.4778987,0.276080699999966,,http://nasthurrock.btck.co.uk/,,,,,,,,,,,,,,,,,,,,,"NAS Thurrock Group provides support and information to families and carers of children with autism and campaigns for better local services for those living with autism in Thurrock.
The support group organises regular meetings, fun activities, clubs, days out and social events plus raises awareness in Thurrock schools, Health services and workplaces.","email: nasthurrock.group@nas.org.uk
NAS Thurrock Group provides support and information to families and carers of children with autism and campaigns for better local services for those living with autism in Thurrock. The support group organises regular meetings, fun activities, clubs, days out and social events plus raises awareness in Thurrock schools, Health services and workplaces., http://nasthurrock.btck.co.uk/",,,,,,,,,,,,
735,15,NAS West London Branch,,51.4912171,-0.2233315,,www.nasbranch.org.uk/westlondon,07436802632,,,,,,,,,,,,,,,,,,,,"Weekly group called NAS West London Branch.
-Advice and support for people with dementia and their families.
-Opportunities to meet and share experiences.
-Based in West London.","Contact Claire O'Connor, Branch Officer,
tel: 07436 802 632,
email: NASWestLondonBranch@nas.org.uk
www.nasbranch.org.uk/westlondon, NAS West London Branch",,,,,,,,,,,,
736,16,AS Mentoring,,51.5083752,-0.3056431,,https://asmentoring.co.uk/,,,,,,,,,,,,,,,,,,,,,"AS Mentoring supports clients to achieve their potential and facilitate social inclusion through employment.
-Provides pre-employment and workplace support.
-Offers coaching and mentoring for adults with Autism Spectrum Conditions and other neurodiverse conditions.
-Services available in London, Surrey and Birmingham, with remote options.","Our Mission is to support our clients to achieve their potential as individuals and to facilitate their social inclusion through employment.
https://asmentoring.co.uk/
There are a range of services including:
For Individuals:
Pre-employment support,
Workplace support and Coaching,
For Employers:
Recruitment, Consultancy, Management,
For Families, Individuals and Employers:
Various Workshops run throughout the year.
https://asmentoring.co.uk/what-we-do
Locations
The AS Mentoring team are based in 3 areas of the UK: London, Surrey and Birmingham.
We are very aware of the need for specialist support across the UK and further so we do work with clients remotely via Skype, phone-calls, email or a combination of all. If there is a need, staff can travel to other areas of the UK on an ad-hoc basis for Workplace Support and Coaching; this is something we'd be happy to discuss with you individually., Specialist Coaching and Mentoring for adults with Autism Spectrum Conditions and other neurodiverse conditions.",,,,,,,,,,,,
737,17,Autism Employment Alliance,,51.5073509,-0.127758299999982,,,,,,,,,,,,,,,,,,,,,,,The Autism Employment Alliance is a group of 17 different national charities the UK.,"https://www.autism-alliance.org.uk/about-us/our-members, Autism Employment Alliance of 17 different national charities the UK.",,,,,,,,,,,,
738,18,Dimensions- Supported employment,,51.5073509,-0.127758299999982,,https://www.dimensions-uk.org/,,,,,,,,,,,,,,,,,,,,,"Dimensions supports people with learning disabilities and autism into employment.
Provides expert advice and job coaching.
Helps individuals gain real jobs and achieve social and economic inclusion.
Supports people with learning disabilities and autism to fulfill their employment aspirations.","Work means far more than money and productivity; it means self-esteem, confidence and social opportunities.
Many people are informally supported into employment by Dimensions as part of their support plans.
https://www.dimensions-uk.org/what-we-do/supported-employment/
Our Supported Employment team provides expert advice and job coaching for people with learning disabilities and autism to gain employment.
https://www.dimensions-uk.org/feature/2015/explosive-dream-job-man-autism/
email: alexandra.seddon@dimensions-uk.org, People who are supported into employment by Dimensions have real jobs, where they can fulfill their employment aspirations and achieve social and economic inclusion.",,,,,,,,,,,,
739,19,Employability,,51.5073509,-0.127758299999982,,https://www.employ-ability.org.uk/,+44(0)7852 764 684,,,,,,,,,,,,,,,,,,,,"Opportunities for disabled and dyslexic students and graduates.
Whether you are a student or graduate with a disability, or an employer looking for highly talented candidates from diverse backgrounds, or a university representative wanting to widen your links on behalf of your disabled students – register with us today, or get in touch.","Opportunities for disabled and dyslexic students and graduates.
Whether you are a student or graduate with a disability, or an employer looking for highly talented candidates from diverse backgrounds, or a university representative wanting to widen your links on behalf of your disabled students – register with us today, or get in touch.
Tel: +44(0)7852 764 684
email: info@employ-ability.org.uk, https://www.employ-ability.org.uk/",,,,,,,,,,,,
740,20,"Scope- 
Future Ambitions Employment service",,51.5073509,-0.127758299999982,,https://www.scope.org.uk/futureambitions,,,,,,,,,,,,,,,,,,,,,"Employment service for young disabled people aged 16 to 25 in Hackney, Islington, Newham and Tower Hamlets.
-Provides one to one support from a specialist Employment Advisor.
-Tailored to individual career goals and aspirations.
-Supports sustainable employment.","Future Ambitions is an Employment service aimed at supporting young disabled people aged 16 to 25 in Hackney, Islington, Newham and Tower Hamlets into long term sustainable employment.
Working in Partnership
Future Ambitions wants to support organisations to help them engage with more young disabled people, if you would like more information please email future@scope.org.uk
https://www.scope.org.uk/futureambitions, Following the success of First Impressions, First Experiences, supported by the Credit Suisse EMEA Foundation, Scope has launched Future Ambitions. This new service is tailored to the individual, providing each customer with one to one support from a specialist Employment Advisor to understand their career goals and aspirations and how to achieve them.",,,,,,,,,,,,
741,21,Uptimize Online Employability Training,,51.5073509,-0.127758299999982,,http://www.uptimize.com,,,,,,,,,,,,,,,,,,,,,"Uptimize courses teach you everything you need to know to impress employers. Get hired & advance your career with our online employability training.
-Online video training designed specifically to unlock the potential of the neurodiverse workforce.
-Our vision is world where neurodiversity is universally championed, and where organizations thrive thanks to their neurodiverse teams.","Neurodivergent individuals can bring unique and valuable skills to the workplace – from the attention to detail and data-driven thinking typical of people with autism, to the creativity and insight associated with people with dyslexia, dyspraxia and ADHD.
Uptimize courses teach you everything you need to know to impress employers. Get hired & advance your career with our online employability training.
Website: http://www.uptimize.com, Our best-in-class online video training is designed specifically to unlock the potential of the neurodiverse workforce. Our vision is world where neurodiversity is universally championed, and where organizations thrive thanks to their neurodiverse teams. We are excited to be on a journey and to be collaborating with other like-minded organizations, to make that vision a reality.",,,,,,,,,,,,
742,22,Barnet- Kisharon Adult employment programme,"25 Bell Lane,
London NW4 2BP",51.5868018,-0.219027200000028,,http://www.kisharon.org.uk/our-services/opportunity/employment/supported-employ-ment-at-kisharon/,020 8202 5540,,,,,,,,,,,,,NW4 2BP,,,,,,,"Kisharon’s adult employment programme brings together adults with untapped skills and businesses needing staff in a friendly environment.
-Creative and enterprising approach.
-Friendly and supportive workforce.
-Located in London.","Kisharon’s adult employment programme is a creative and enterprising way to bring together adults with an untapped skill-set with businesses requiring staff and offering a friendly and supportive environment for their workforce.
Tel: 020 8202 5540
25 Bell Lane, London NW4 2BP
Opening hours: Mon-Thurs 8.30-5.30pm.
Fri 8.30-3.30pm (1pm winter). Sunday 9.30-1pm.
http://www.kisharon.org.uk/our-services/opportunity/employment/supported-employ-ment-at-kisharon/, Email: albc@kisharon.org.uk",,,,,,,,,,,,
743,23,Barnet- Norwood Catering Scheme,"Kennedy Leigh Centre,
Edgeworth Cl,
London
NW4 4HJ",51.5845549,-0.238062099999979,,,020 8809 8809,,,,,,,,,,,,,NW4 4HJ,,,,,,,"Catering qualifications at a Norwood Cafe. At our Kennedy Leigh Centre in Hendon and Ravenswood Village in Berkshire, our cafes support trainees with learning disabilities to develop catering skills. These eight – twelve week taster courses enable trainees to gain valuable skills and real work experience, with the aim of going on to obtain paid work within the catering industry.","http://www.norwood.org.uk/Page/Workskills-and-Employment
Tel: 020 8809 8809
Email: info@norwood.org.uk
Kennedy Leigh Centre
Edgeworth Cl,
London
NW4 4HJ, Catering qualifications at a Norwood Cafe. At our Kennedy Leigh Centre in Hendon and Ravenswood Village in Berkshire, our cafes support trainees with learning disabilities to develop catering skills. These eight – twelve week taster courses enable trainees to gain valuable skills and real work experience, with the aim of going on to obtain paid work within the catering industry.",,,,,,,,,,,,
744,24,Barnet Work Choice,"3 Ocean House,
Bentley Way,
Barnet,
Hertfordshire",51.6508448,-0.174524799999972,,,03002 472122,,,,,,,,,,,,,,,,,,,,Specialist support for people with disabilities to find and stay in work.,"Address
Ocean House Business Centre, 3 Ocean House, Bentley Way
Barnet
Hertfordshire
Tel: 03002 472122, Specialist support for people with disabilities to find and stay in work.",,,,,,,,,,,,
745,25,Brixton - Work Programme & Volunteers,"2-6 Atlantic Road,
Brixton,
London,
SW9 8HY",51.462924,-0.114458000000013,,,08000853246,,,,,,,,,,,,,SW9 8HY,,,,,,,"Specialist support for people with disabilities to find and stay in work.
Day one support for Young People Trailbrazer.
Volunteers.","Shaw Trust
2-6 Atlantic Road
Brixton
London
SW9 8HY
Tel: 0800 0853246, Specialist support for people with disabilities to find and stay in work. Day one support for Young People Trailbrazer. Volunteers.",,,,,,,,,,,,
746,26,Camden- Employment and Learning Service,"60 Holmes Road,
London NW5 3AQ",51.5501113,-0.1442545,,http://www.thecamdensociety.co.uk/ourservices/employment,020 7485 8177,,,,,,,,,,,,,NW5 3AQ,,,,,,,"Specialist employment support built around you to make sure you reach your full potential.
-Specialist employment support.
-Support to reach your full potential.
-Located in London NW5 3AQ","http://www.thecamdensociety.co.uk/ourservices/employment
Employment Advisors
The Camden Society Employment & Learning Centre
60 Holmes Road, London NW5 3AQ
Tel: 020 7485 8177
Email: employment@thecamdensociety.co.uk
Service Manager: Helen Smith : helen.smith@thecamdensociety.co.uk, We offer specialist employment support built around you to make sure you reach your full potential.",,,,,,,,,,,,
747,27,Crawley- A Potential Diamond,,51.1091401,-0.187227500000063,,,07738941415,,,,,,,,,,,,,,,,,,,,"We take a natural approach, getting to know jobseekers’ families, communities, and employers.
-Focuses on positive jobseeker attributes and employer adjustments.
-Works with individuals with autism, Asperger’s, or mild learning disabilities.
-Builds unique job-fit based on individual circumstances.","We take the most natural approach for each individual. We get to know their families, communities and employers within easy reach of home. We focus on what positive attributes our jobseekers can bring to the workplace whilst embracing what adjustments the employer might need to make to live in harmony with the autism or learning disability.
Our model of employment support puts the emphasis on getting the job-fit right. Each one of our jobseekers will have their own unique set of circumstances that will make up the best job-fit. And we believe we do a very good job understanding exactly what these are.
Email:richard@apotentialdiamond.org
Phone:077389 41415.
Richard Lamplough has had, and continues to have, a varied career. For much of the last twenty years he's used his creativity, drive and communication skills to support people with autism, Asperger's Syndrome or mild learning disabilities into paid employment., We work with people with autism or learning disabilities often while they are still at college but also if they are unemployed and keen to find full-time or part-time work. We get to know them as individuals, find out about their strengths and aspirations and build an understanding of what type of work and what sort of work environment will suit them best.",,,,,,,,,,,,
748,28,"Croydon- Work Choice & Programme, Volunteers","Suites 410, 411, 413 & Boardroom
4th Floor, Davis House
Croydon
Surrey
CR0 1QQ",51.3712327,-0.0993054000000484,,,0800 917 9069,,,,,,,,,,,,,CR0 1QQ,,,,,,,"Employment support services.
-Support for individuals seeking employment.
-Located in Croydon, Surrey.
-Contact Shaw Trust.","Address
Suites 410, 411, 413 & Boardroom
4th Floor, Davis House
Croydon
Surrey
CR0 1QQ
Tel: 0800 917 9069, Shaw Trust Employment support.",,,,,,,,,,,,
749,29,"Elstree- Rural Care
Work experience 
 Aldenham Country Park","Aldenham Country Park,
Aldenham,
Stevenage SG7 1RS",51.6521109,-0.3151703,,,,,,,,,,,,,,,,,,,,,,,"Rural Care provides training and work experience for people with learning disabilities and/or mental health issues in a supportive and caring environment on a fully working farm.
-Rural Care provides training and work experience for people with learning disabilities and/or mental health issues in a supportive and caring environment on a fully working farm.
-Rural Care provides training and work experience for people with learning disabilities and/or mental health issues in a supportive and caring environment on a fully working farm.
-Rural Care provides training and work experience for people with learning disabilities and/or mental health issues in a supportive and caring environment on a fully working farm.","https://ruralcare.wordpress.com/
Aldenham Country Park
Aldenham Country Park consists of 100 acres of land surrounding a 60 acre lake. It has a farm with rare breed livestock such as Berkshire and British Lop pigs, Red Poll and Longhorn cattle, Black Welsh Mountain Sheep and free range poultry. All of this enables us at Rural Care to get involved in lots of different jobs and tasks., Rural Care provides training and work experience for people with learning disabilities and/or mental health issues in a supportive and caring environment on a fully working farm. We also work in partnership with North Hertfordshire College to provide accredited training for their students with learning disabilities on the farm. Volunteers are welcome and can help out with Rural Care or can work on their own so they can enjoy the tranquillity of the farm.",,,,,,,,,,,,
750,30,Hackney Community Hub,"Ground and First Floors,
26-28 Ramsgate Street,
Hackney,
London,
E8 2NA",51.5470371,-0.0711178999999902,,,08000853137,,,,,,,,,,,,,E8 2NA,,,,,,,Specialist support for people with disabilities to find and stay in work.,"Shaw Trust
Ground and First Floors, 26-28 Ramsgate Street Hackney
Hackney
London
E8 2NA
Phone:
0800 085 3137, Specialist support for people with disabilities to find and stay in work.",,,,,,,,,,,,
751,31,"Hammersmith and Fulham-
Adult Learning and Skills Service",,51.4918863,-0.2314437,,http://www.hfals.co.uk/enrol-now/,020 8753 3600,,,,,,,,,,,,,,,,,,,,"Four levels of courses to suit learners with different ability levels.
-Preperation for work
-Personal Development
-All Welcome
-Inclusive/Advanced","Learning & Other Disabilities (LLDD)
There are four levels of courses to suit learners with different ability levels
-Preperation for work
-Personal Development
-All Welcome
-Inclusive/Advanced
http://www.hfals.co.uk/learning-other-disabilities/
Enrolment information
You can enrol at any time of the year for many courses, even if they have already started, as long as there are places available and the level is right for you.
To find out if this is possible call 020 8753 3600
or see the website:
http://www.hfals.co.uk/enrol-now/, The LLDD program consists of a wide selection of courses to cater for the diverse needs of learners with learning difficulties and disabilities in the borough. Our provision aims to support learners into work, supported employment and/or to have an active life in the community.",,,,,,,,,,,,
752,32,Haringey- Hail to Work,"Town Hall
Town Hall Approach Road
Tottenham
London, N15 4RY",51.600491,-0.104938500000003,,http://www.hailltd.org,020 8275 6550,,,,,,,,,,,,,N15 4RY,,,,,,,"We are committed to providing a professional service to all our customers whilst also supporting those with varying disabilities into paid employment.
HAIL to Work is a unique employment service which works across London.
HAIL to Work is a non-profit making social enterprises comprising of three services: HAIL to Work Cleaning, HAIL to Work Gardening & HAIL to Work Travel Mate; staffed entirely by individuals with either a Disability, Mental Health issue or Autism.","We are committed to providing a professional service to all our customers whilst also supporting those with varying disabilities into paid employment.
Hail to Work
Tottenham Town Hall
Town Hall Approach Road
Tottenham
London, N15 4RY
Telephone: 020 8275 6550
Email: admin@hailltd.org
http://www.hailltd.org, HAIL to Work is a unique employment service which works across London. HAIL to Work is a non-profit making social enterprises comprising of three services: HAIL to Work Cleaning, HAIL to Work Gardening & HAIL to Work Travel Mate; staffed entirely by individuals with either a Disability, Mental Health issue or Autism.",,,,,,,,,,,,
753,33,Hillingdon- Mencap Employment Service,,51.5234787,-0.449452199999996,,http://directory.hillingdon.gov.uk/kb5/hillingdon/fsd/service.page?id=zdxusE1je_Q,07908 379216,,,,,,,,,,,,,,,,,,,,"Employment service for young people with learning disabilities and autism in Hillingdon.
The programme involves working in small groups and 1:1, Mencap will help clients develop all the skills required for the work place, including; CV writing, confidence building, communication and team work skills and interview practice.
They will support clients to search and apply for jobs. They can also offer job coaching and in-work support.
Young people with learning disabilities and autism between the ages of 18-24 are eligible.","Employment service for young people with learning disabilities and autism in Hillingdon.
The programme involves working in small groups and 1:1, Mencap will help clients develop all the skills required for the work place, including; CV writing, confidence building, communication and team work skills and interview practice.
They will support clients to search and apply for jobs. They can also offer job coaching and in-work support.
Contact Samantha Beddall
Employment Co-ordinator
Tel: 07908 379216
E-mailSamantha.beddall@mencap.org.uk
http://directory.hillingdon.gov.uk/kb5/hillingdon/fsd/service.page?id=zdxusE1je_Q, Young people with learning disabilities and autism between the ages of 18-24 are eligible. The service is based in Hillingdon, but also welcomes clients from neighbouring boroughs.",,,,,,,,,,,,
754,34,"Islington- Adjust 
Understanding for Employers","20-22 Wenlock Road,
London,
N1 7GU",51.53066,-0.0935664,,https://www.adjustservices.co.uk/,0208 719 0067,,,,,,,,,,,,,N1 7GU,,,,,,,"Adjust was set up to provide employers with a clear understanding of autism, dyslexia, dyspraxia and ADHD.
Employers may often miss out on the unique strengths and skills brought to the workplace by these individuals.","Adjust
20-22 Wenlock Road
London
N1 7GU
Tel: 0208 719 0067
email: info@adjustservices.co.uk
Website: https://www.adjustservices.co.uk/, Adjust was set up to provide employers with a clear understanding of autism, dyslexia, dyspraxia and ADHD. Employers may often miss out on the unique strengths and skills brought to the workplace by these individuals.",,,,,,,,,,,,
