record_index,name,postcode,city,website,phone,email,facebook,source,completeness,key_used,issues
15,NHS 111,N/A,National,https://111.nhs.uk,+111,,,compiled_resources,0.875,wp,phone_suspect;postcode_invalid;missing_coordinates
16,London Autism Group Charity,Various,London,https://londonautismgroupcharity.org,,,,compiled_resources,0.75,wp,postcode_invalid;missing_coordinates
17,Centre for ADHD and Autism Support (CAAS),HA4 9XA,London,https://adhdandautism.org,+442045684629,adults@adhdandautism.org,,compiled_resources,1.0,wp,missing_coordinates
18,London Neurodivergent Friendship Group (LNFG),Various,London,https://lnfg.uk,,,,compiled_resources,0.75,wp,postcode_invalid;missing_coordinates
19,London Adult ADHD Support Group,W1F 7TH,London,,,,,compiled_resources,0.625,np,no_contact;missing_coordinates
20,Atypiqueers,Various,London,https://atypiqueers.org,,,,compiled_resources,0.75,wp,postcode_invalid;missing_coordinates
21,Camden SEN Team,WC1H 9JE,London,https://camden.gov.uk/special-educational-needs,+442079746500,sen.enquiries@camden.gov.uk,,compiled_resources,1.0,wp,missing_coordinates
22,Tower Hamlets Special Educational Needs Section,E1 1BJ,London,https://towerhamlets.gov.uk/lgnl/education_and_learning/parental_support/special_educational_needs,+442073644880,specialeducational.needs@towerhamlets.gov.uk,,compiled_resources,1.0,wp,missing_coordinates
23,Hammersmith & Fulham SENCo Advisory Support,Various,London,https://lbhf.gov.uk/family-information-directory/senco-advisory-support,,,,compiled_resources,0.75,wp,postcode_invalid;missing_coordinates
24,Ealing SEN Assessment Service,Various,London,https://ealing.gov.uk/info/201209/children_with_send_or_a_disability/2110/special_educational_needs_and_disability_send,+442088256910,senas@ealing.gov.uk,,compiled_resources,1.0,wp,postcode_invalid;missing_coordinates
25,Southwark Special Educational Needs Team,Various,London,https://localoffer.southwark.gov.uk/education/specialist-services-offered-by-the-council/special-educational-needs-team,,,,compiled_resources,0.75,wp,postcode_invalid;missing_coordinates
26,Sybil Elgar School (National Autistic Society),Various,London,https://autism.org.uk/our-schools/sybil-elgar,,,,compiled_resources,0.75,wp,postcode_invalid;missing_coordinates
27,Lavender Lodge School,CR4 3HD,London,https://witherslackgroup.co.uk/our-locations/our-schools/lavender-lodge-school,+442086877050,,,compiled_resources,0.875,wp,missing_coordinates
28,BeyondAutism Tram House School,Various,London,https://beyondautismschools.org.uk/tramhouse,,,,compiled_resources,0.75,wp,postcode_invalid;missing_coordinates
29,Centre Academy London,Various,London,https://centreacademy.net,,,,compiled_resources,0.75,wp,postcode_invalid;missing_coordinates
30,Exceptional Individuals,Various,London,https://exceptionalindividuals.com/candidates,+442081336046,,,compiled_resources,0.875,wp,postcode_invalid;missing_coordinates
31,Access to Work Scheme,N/A,National,https://gov.uk/access-to-work,+448001217479,,,compiled_resources,0.875,wp,postcode_invalid;missing_coordinates
32,National Autistic Society Residential Services,Various,National,https://autism.org.uk/what-we-do/adult-residential-services,,,,compiled_resources,0.75,wp,postcode_invalid;missing_coordinates
33,Personal Independence Payment (PIP),N/A,National,https://gov.uk/pip,+448009172222,,,compiled_resources,0.875,wp,postcode_invalid;missing_coordinates
34,Universal Credit,N/A,National,https://gov.uk/universal-credit,+448003285644,,,compiled_resources,0.875,wp,postcode_invalid;missing_coordinates
35,Citizens Advice,Various,London,https://citizensadvice.org.uk,,,,compiled_resources,0.75,wp,postcode_invalid;missing_coordinates
36,Transport for London (TfL) Accessibility,Various,London,https://tfl.gov.uk/transport-accessibility,,,,compiled_resources,0.75,wp,postcode_invalid;missing_coordinates
37,Ealing Community Cafe,W5 2RS,Mount Park Road,https://londonautismgroupcharity.org/community-cafes,,,,lag_map,0.625,wp,
38,Grays Community Cafe,RM17 6DR,This community cafe will be taking place on the 1st Sunday of every month at 2pm-4pm at,https://londonautismgroupcharity.org/community-cafes,,,,lag_map,0.625,wp,
39,Old Street Community Cafe,EC1V 9NH,London,https://londonautismgroupcharity.org/community-cafes,,,,lag_map,0.625,wp,
40,Southgate Community Cafe,N14 5PP,It is held at the fantastic St Andrew's Church Hall in Southgate,https://londonautismgroupcharity.org/community-cafes,,,,lag_map,0.625,wp,
41,South Woodford Community Cafe,E18 2PA,St Mary's Parish Church Woodford,https://londonautismgroupcharity.org/community-cafes,,,,lag_map,0.625,wp,
42,NAS Bexley Branch,,email: bexley@nas.org.uk,,,,,lag_map,0.375,nc,no_contact
43,NAS Croydon Branch,,email: croydonbranch@nas.org.uk,https://autism.org.uk/directory/resources/12588.aspx,,,,lag_map,0.5,wc,
44,NAS Enfield Branch,,email: enfield@nas.org.uk,https://enfieldnas.org.uk,,,,lag_map,0.5,wc,
45,NAS Greenwich Branch,,Branch Officer,https://facebook.com/nasgreenwich,,,https://facebook.com/nasgreenwich,lag_map,0.5,wc,
46,Ladbroke Grove Autism Centre,W10 6EJ,London,https://autism.org.uk/services/england/london/daytime-hubs/ladbroke-grove.aspx,,,,lag_map,0.625,wp,
47,NAS Lambeth Branch,,email: lambeth@nas.org.uk,https://nasbranch.org.uk/lambeth,,,,lag_map,0.5,wc,
48,NAS Lewisham Autism Support,SE23 2LB,Website: http://www.autism.org.uk/directory/resources/5039.aspx,https://autism.org.uk/directory/resources/5039.aspx,,,,lag_map,0.625,wp,
49,NAS Merton Branch,,email: Merton.Group@nas.org.uk,https://nasbranch.org.uk/merton,,,,lag_map,0.5,wc,
50,NAS Newham Branch,E13 8AL,email: newham@nas.org.ukwww.nasbranch.org.uk/newham,https://nasnewhambranch.webeden.co.uk,,,,lag_map,0.625,wp,
51,NAS Richmond Branch,,information and awareness.,https://richmondnas.org/index.html,,,,lag_map,0.5,wc,
52,NAS Southwark Branch,,email: southwark@nas.org.uk,,,,,lag_map,0.375,nc,no_contact
53,NAS Surrey Autism Resource Centre,,Epsom Ash Guildford and Newbury,https://nassurreybranch.org,,,,lag_map,0.5,wc,
54,NAS Sutton Branch,,email: sutton@nas.org.uk,https://sutton.webeden.co.uk,,,,lag_map,0.5,wc,
55,NAS Thurrock Branch,,http://nasthurrock.btck.co.uk/,https://nasthurrock.btck.co.uk,,,,lag_map,0.5,wc,
56,NAS - Tower Hamlets,E2 0SN,London,,,,,lag_map,0.5,np,no_contact
57,NAS West London Branch,,London,,,,,lag_map,0.375,nc,no_contact
58,AS Mentoring,,Specialist Coaching and Mentoring for adults with Autism Spectrum Conditions and other neurodiverse conditions.,https://asmentoring.co.uk,,,,lag_map,0.5,wc,
59,Autism Employment Alliance,,Autism Employment Alliance of 17 different national charities the UK.,https://autism-alliance.org.uk/about-us/our-members,,,,lag_map,0.5,wc,
60,Care Trade,,London,https://care-trade.org,,,,lag_map,0.5,wc,
61,Dimensions- Supported employment,,where they can fulfill their employment aspirations and achieve social and economic inclusion.,https://dimensions-uk.org/what-we-do/supported-employment,,,,lag_map,0.5,wc,
62,Disability Rights UK,N1 6AH,a network of disabled people in senior jobs.,https://disabilityrightsuk.org/how-we-can-help/leadership/radiate-network,,,,lag_map,0.625,wp,
63,Employability,,https://www.employ-ability.org.uk/,https://employ-ability.org.uk,,,,lag_map,0.5,wc,
64,Expect the Best,N3 1RT,which aims to improve the quality of services delivered to people who receive support.,https://expectthebest.org.uk,,,,lag_map,0.625,wp,
65,NAS Employment Advice Service,,http://www.autism.org.uk/about/adult-life/work.aspx,https://autism.org.uk/about/adult-life/work.aspx,,,,lag_map,0.5,wc,
66,"Scope- 
Future Ambitions Employment service",,providing each customer with one to one support from a specialist Employment Advisor to understand their career goals and aspirations and how to achieve them.,https://scope.org.uk/futureambitions,,,,lag_map,0.5,wc,
67,Uptimize Online Employability Training,,to make that vision a reality.,https://uptimize.com,,,,lag_map,0.5,wc,
68,Ardeley- Work Experience and Family Visits at Church Farm,,http://www.churchfarmardeley.co.uk/plan-a-visit,https://churchfarmardeley.co.uk/plan-a-visit,,,,lag_map,0.5,wc,
69,Barnet- Kisharon Adult employment programme,NW4 2BP,Email: albc@kisharon.org.uk,https://kisharon.org.uk/our-services/opportunity/employment/supported-employ-ment-at-kisharon,,,,lag_map,0.625,wp,
70,"Barnet- Mencap
Bright Futures Service",N3 1RT,advice and support for people with learning disabilities and people with autism.,https://barnetmencap.org.uk/BFPressRelease.htm,,,,lag_map,0.625,wp,
71,Barnet- Norwood Catering Scheme,NW4 4HJ,with the aim of going on to obtain paid work within the catering industry.,https://norwood.org.uk/Page/Workskills-and-Employment,,,,lag_map,0.625,wp,
72,Barnet Work Choice,,Specialist support for people with disabilities to find and stay in work.,,,,,lag_map,0.375,nc,no_contact
73,"Basildon, 
Essex.
Papworth Trust Centre",,The Papworth Trust Centre in Basildon offers a choice of activities for disabled people to have fun and learn new skills and get some work experience.,https://papworthtrust.org.uk/leisure-sports-and-social/basildon-timetable,,,,lag_map,0.5,wc,
74,"Berkhamsted-
 Sunnyside Rural Trust
Work Experience",HP4 3HD,Sunnyside Rural Trust works in Hertfordshire with adults with learning disabilities through horticultural and practical activities.,https://sunnysideruraltrust.org.uk,,,,lag_map,0.625,wp,
75,"Bexley-
Re-Instate Employment Service",DA17 6AA,Address: Mitchell Close,https://re-instate.co.uk/the-employment-service,,,,lag_map,0.625,wp,
76,Brixton - Work Programme & Volunteers,SW9 8HY,Specialist support for people with disabilities to find and stay in work. Day one support for Young People Trailbrazer. Volunteers.,,,,,lag_map,0.5,np,no_contact
77,Bromley- Mencap Jobmatch Employment Service,BR2 9JG,Bromley,https://bromleymencap.org.uk/finding-a-job/jobmatch-projects,,,,lag_map,0.625,wp,
78,Camden- Alexandra College,NW8 0SR,off Boundary Road,,,,,lag_map,0.5,np,no_contact
79,Camden- Employment and Learning Service,NW5 3AQ,We offer specialist employment support built around you to make sure you reach your full potential.,https://thecamdensociety.co.uk/ourservices/employment,,,,lag_map,0.625,wp,
80,Camden- Elfrida Rathbone,NW5 2BP,7 Dowdney Close,https://www2.elfridacamden.org.uk,,,,lag_map,0.625,wp,
81,"Camden- 
Horticultural volunteering and training 
The Calthorpe Project",WC1X 8LH,E-mail: info@calthorpeproject.org.uk,https://calthorpeproject.org.uk,,,,lag_map,0.625,wp,
82,"City of London- Auticon Ltd
 Autistic IT Employer",EC2A 2EX,Auticon is an award-winning IT and compliance consulting business. All Auticon consultants are on the autism spectrum.,https://auticon.co.uk/about,,,,lag_map,0.625,wp,
83,Crawley- A Potential Diamond,,find out about their strengths and aspirations and build an understanding of what type of work and what sort of work environment will suit them best.,,,,,lag_map,0.375,nc,no_contact
84,Croydon- Status Employment,CR0 8RA,6 West Way Gardens,https://statusemployment.org.uk,,,,lag_map,0.625,wp,
85,"Croydon- Work Choice & Programme, Volunteers",CR0 1QQ,Shaw Trust Employment support.,,,,,lag_map,0.5,np,no_contact
86,"Elstree- Rural Care
Work experience 
 Aldenham Country Park",,Rural Care provides training and work experience for people with learning disabilities and/or mental health issues in a supportive and caring environment on a fully working farm. We also work in partnership with North Hertfordshire College to provide accredited training for their students with learning disabilities on the farm. Volunteers are welcome and can help out with Rural Care or can work on their own so they can enjoy the tranquillity of the farm.,https://ruralcare.wordpress.com,,,,lag_map,0.5,wc,
87,"Greenwich- 
Mencap Employment Service",,This service is co-ordinated by The Camden Society and Advocacy in Greenwich.,https://greenwichmencap.org.uk,,,,lag_map,0.5,wc,
88,"Guildford-
Surrey choices employability",GU1 1RR,Surrey Choices provide support services for people with additional needs across Surrey and surrounding areas. These include:,https://surreychoices.com/employability,,,,lag_map,0.625,wp,
89,Hackney- Access for Autism,EC2A 4NE,London,https://accessforautism.co.uk,,,,lag_map,0.625,wp,
90,Hackney Community Hub,E8 2NA,Specialist support for people with disabilities to find and stay in work.,,,,,lag_map,0.5,np,no_contact
91,"Hammersmith and Fulham-
Adult Learning and Skills Service",,supported employment and/or to have an active life in the community.,https://hfals.co.uk/learning-other-disabilities,,,,lag_map,0.5,wc,
92,Haringey- Hail to Work,N15 4RY,London,https://hailltd.org,,,,lag_map,0.625,wp,
93,Harlow- Elbow Grease Volunteering,CM20 2BJ,Sara O’Neill: Service Coordinator,https://elbow-grease.co.uk,,,,lag_map,0.625,wp,
94,Harrow Association of Disabled People,HA3 7AE,Harrow,,,,,lag_map,0.5,np,no_contact
95,"Harrow- Norwood
Work Skills and Employment Service",HA7 4HB,People who live in Norwood’s accommodation services are supported to undertake training and seek work or volunteering opportunities according to their wishes.,https://norwood.org.uk/Page/Workskills-and-Employment,,,,lag_map,0.625,wp,
96,Heathrow -Green Corridor,TW19 6BS,Main Rd Nurseries,https://greencorridor.org.uk,,,,lag_map,0.625,wp,
97,Hillingdon- Mencap Employment Service,,but also welcomes clients from neighbouring boroughs.,https://directory.hillingdon.gov.uk/kb5/hillingdon/fsd/service.page,,,,lag_map,0.5,wc,
98,"High Wycombe- 
Supported Employment
Buckinghamshire Care",HP11 1NH,Easton Street,https://base-uk.org/about/members/buckinghamshire-care,,,,lag_map,0.625,wp,
99,Hillingdon- Rural Activities Garden Centre (RAGC) and the Rural Tea Rooms.,UB8 3JZ,https://www.hillingdon.gov.uk/article/23061/Rural-Activities-Garden-Centre-RAGC,https://hillingdon.gov.uk/article/23061/Rural-Activities-Garden-Centre-RAGC,,,,lag_map,0.625,wp,
100,"Islington- Adjust 
Understanding for Employers",N1 7GU,dyspraxia and ADHD. Employers may often miss out on the unique strengths and skills brought to the workplace by these individuals.,https://adjustservices.co.uk,,,,lag_map,0.625,wp,
101,Ladbroke Grove Autism Centre,,http://www.autism.org.uk/.../daytime.../ladbroke-grove.aspx,https://autism.org.uk/.../daytime.../ladbroke-grove.aspx,,,,lag_map,0.5,wc,
102,"Lambeth - Inclusion London
Training and Support",SW9 7AA,London,https://inclusionlondon.org.uk/training-and-support,,,,lag_map,0.625,wp,
103,Lewisham- Community Hub,SE13 6EE,Specialist support for people with disabilities to find and stay in work. Support for young people.,,,,,lag_map,0.5,np,no_contact
104,"Lewisham-
PLUS Services",SE13 5BD,London,https://plus-services.org,,,,lag_map,0.625,wp,
105,"Maidstone-
Burgess Autistic Trust",ME16 9NT,Hermitage Lane,,,,,lag_map,0.5,np,no_contact
106,"Merton- United Response Support
(Employment/Education)",SW19 1NE,We support many people who are on the autistic spectrum – some are able to live independent lives with a small amount of support while others require specialist full-time support.,https://unitedresponse.org.uk,,,,lag_map,0.625,wp,
107,"Newham-
Ellingham Employment Services",E15 2AU,5-11 Ellingham Road,https://ellingham.org.uk,,,,lag_map,0.625,wp,
108,Reading- AutAngel Gardening group,,email: caroline@autangel.org.uk,,,,,lag_map,0.375,nc,no_contact
109,Richmond- Choice Support,,London,https://choicesupport.org.uk/find-support/find-support-near-you/richmond-wandsworth,,,,lag_map,0.5,wc,
110,Romford Autism Hub Sycamore Trust,RM1 3RT,support netowrks and coping strategies.,https://sycamoretrust.org.uk/our-services/adult-services,,,,lag_map,0.625,wp,
111,Sidcup- Social Enterprise Employment Company (SEEC),DA15 7EJ,3rd Floor,,,,,lag_map,0.5,np,no_contact
112,Sidcup- Avenues Trust Group,DA14 5TA,The Avenues Trust Group.,https://avenuesgroup.org.uk,,,,lag_map,0.625,wp,
113,"Sidcup- Choice Support
Carlton Centre",,we may be able to help you.,https://choicesupport.org.uk/find-support/find-support-near-you/carlton,,,,lag_map,0.5,wc,
114,Stoke Newington- Shaw Trust,N16 0PH,Specialist support for people with disabilities to find and stay in work.,,,,,lag_map,0.5,np,no_contact
115,Sutton Choice Support Employment,SM4 6BL,Bishopsford Road,https://choicesupport.org.uk/find-support/find-support-near-you/sutton-supported-employment,,,,lag_map,0.625,wp,
116,Tower Hamlets- Tower Project,E3 4RL,London,https://towerproject.org.uk/services/job-enterprise-and-training,,,,lag_map,0.625,wp,
117,Wandsworth- BeyondAutism,SW18 2SL,what they do and with whom.,https://beyondautism.org.uk/our-services,,,,lag_map,0.625,wp,
118,"Wandsworth- Share Community
Individual placement and support",SW11 1JL,Do you have a long-term mental health concern?,https://sharecommunity.org.uk/employment-support/individual-placement-and-support-helping-you-find-right-job,,,,lag_map,0.625,wp,
119,"Wandsworth- 
Work Choice/Work Programme",SW18 4LS,Wandsworth High Street,,,,,lag_map,0.5,np,no_contact
120,"Wandsworth-
Disabled Living Foundation",SW18 4LS,We are the UK's leading source of impartial information and expert advice on independent living,,,,,lag_map,0.5,np,no_contact
121,"Westminster- 
Kennet West Skills Centre",W9 3LG,The new Kennet West Skills Centre in Westminster is an exciting new vocational skills centre in a new development for students with learning difficulties and disabilities. This new dedicated Skills Centre is opening at the Queen Elizabeth II School in conjunction with Westminster City Council. This centre will deliver vocational courses and work related opportunities for 16-25 year old students with Learning Difficulties and Disabilities in:,,,,,lag_map,0.5,np,no_contact
122,"Woking- Optalis 
Supported Employment",RG41 2PY,substance misuse issues and carers. Most are covered by the Equality Act 2010 and mean you’re entitled to extra support.,https://optalis.org/employment-learning-leisure/help-to-find-and-keep-a-job,,,,lag_map,0.625,wp,
123,Asperger London Area Group -ALAG,N1 0NP,London,,,,,lag_map,0.5,np,no_contact
124,"Autistic Inclusive Meets(AIM)
Autistic Community Group 
for Adults, children and carers",SE18 6UZ,Autistic Inclusive Meets,,,,,lag_map,0.5,np,no_contact
125,Informal Meetups for Autistic Adults,,London,https://imaa.org.uk,,,,lag_map,0.5,wc,
126,London Adults with mild Autism Spectrum Disorder Meetup Group,,to help each other to get a better understanding of the current world and last but not least to feel comfortable in this meeting with like-minded people. I'm open for any advice critics or ideas about this meetup.,https://meetup.com/London-Adults-with-mild-Autism-Spectrum-Disorder,,,,lag_map,0.5,wc,
127,London Adult ADHD Support Group,,and no issues are too delicate.,,,,,lag_map,0.375,nc,no_contact
128,Neurodivergent Professional Group,,membership will be open to other conditions that can be considered Neurodivergent. The aim of this group twofold: (ii) to create greater connections within our community and (ii) to consider how we can address some of the challenges we face. Events to connect and network will be the main focus (details will be made available to members).,https://acas.org.uk/index.aspx,,,,lag_map,0.5,wc,
129,SEE Autistic Women: London & South East England Support and Social Group,,This group facilitates meet ups all across the South East for and by women.,https://facebook.com/groups/990431507754294,,,https://facebook.com/groups/990431507754294,lag_map,0.5,wc,
130,Certitude Support,SW17 7BQ,London,https://certitude.london,,,,lag_map,0.625,wp,
131,Barking and Dagenham Information Advice and Support Service,RM10 8NJ,close relative or friend we are here to provide help when you need it.,https://carerscentre.org.uk,,,,lag_map,0.625,wp,
132,Barking/Dagenham -Ab Phab Youth Club,RM8 2UT,To provide a youth club that offers social/physical/educational opportunities that meets the needs of Disabled young people aged 11-25 living in barking and Dagenham,,,,,lag_map,0.5,np,no_contact
133,Barking and Dagenham- Kids Patch Club,RM10 7YP,Pembroke Gardens,https://dabd.org.uk/help-and-advice/personal-help/kids-patch-club,,,,lag_map,0.625,wp,
134,Basildon- SHARE Safe Haven and Respite Environment,SS14 3PE,As a registered charity we have been supporting families since 1982. We offer a wide range of opportunities for young people with disabilities . We do this through our holiday and out of school clubs with a range of fun activities within a happy safe and relaxed environment.,,,,,lag_map,0.5,np,no_contact
135,"Barnet -Aspergers Social Group
Mencap",N3 1RT,www.barnetmencap.org.uk,,,,,lag_map,0.5,np,no_contact
136,Barnet Early Years Alliance (BEYA),EN4 9NT,BEYA parents of children with SEN coffee mornings. 2017 meetings will take place on the last Friday of the month in term -time.,,,,,lag_map,0.5,np,no_contact
137,Barnet Early Autism Model (BEAM) Specialist Team,,Barnet Early Autism Model (BEAM) is a specialist Autism home-based service for families of pre - school children under five with a confirmed diagnosis of Autism by a Paediatrician. BEAM staff work in partnership with parents in their homes to maximise learning opportunities and support their transition into educational settings.,https://barnet.gov.uk/citizen-home/directories/Directories,,,,lag_map,0.5,wc,
138,Barnet Carers Centre,N12 8NP,Global House,https://barnetcarers.org,,,,lag_map,0.625,wp,
139,"Barnet Finchley Rd
Resources for Autism",NW11 6AB,Saturday Club Respite 1400-1600,https://resourcesforautism.org.uk/wp/wp-content/uploads/2015/04/Resources-for-Autism-Wednesday-858-Club.pdf,,,,lag_map,0.625,wp,
140,"Barnet -St Joseph's Pastoral Centre
Family Support and Social Group.",NW4 4TY,St Joseph's Grove,https://stjoseph.org.uk,,,,lag_map,0.625,wp,
141,Barnet -Jewish Autism Trust,NW4 1AD,The Jewish Autism Trust is a charity that supports families of children with autism or Asperger syndrome. We are unaffiliated and welcome families across the Jewish community. The Jewish Autism Trust gives members the opportunity to exchange ideas and experiences and to give each other mutual support. We also organise speakers on a regular basis.,,,,,lag_map,0.5,np,no_contact
142,Barnet- Fairplay,NW4 4TY,St Joseph’s Pastoral Centre,,,,,lag_map,0.5,np,no_contact
143,Barnet- Kids In Sync Therapy Centre,EN5 4PH,Herts,https://kidsinsync.com,,,,lag_map,0.625,wp,
144,Barnet -Teatime Support Group For Special Needs Children and Families,EN5 4JP,Usually on the last Saturday of the month,,,,,lag_map,0.5,np,no_contact
145,"Barnet -Finchley Road 
Resources for Autism",NW11 6AB,we are running an autism specific play club for young people with a diagnosis of Autism.,,,,,lag_map,0.5,np,no_contact
146,"Barnet- Norwood 
Support and Respite Services",HA7 4HB,http://www.norwood.org.uk/,https://norwood.org.uk,,,,lag_map,0.625,wp,
147,Barnet Parent Carer Forum,N3 1RT,35 Hendon Lane,,,,,lag_map,0.5,np,no_contact
148,Beckenham- Choice Support Hub,BR3 4RP,We run a lively social club for adults with learning disabilities and autism in Beckenham.,https://choicesupport.org.uk/find-support/find-support-near-you/autism-social-club,,,,lag_map,0.625,wp,
149,Autism Berkshire,RG1 8EQ,http://www.autismberkshire.org.uk/events/,https://autismberkshire.org.uk/events,,,,lag_map,0.625,wp,
150,Berkshire Youth Phab Club,RG1 2TD,Berkshire Youth Phab Club,https://phab.org.uk,,,,lag_map,0.625,wp,
151,Bexley -Bridging the Gap South East,DA18 4DR,Autistic Spectrum Disorder Social Club (adults),https://btgse.co.uk,,,,lag_map,0.625,wp,
152,"Bexley- Choice Support Advice and 
Adult Autistic Social Club",BR3 4RP,243-247 Beckenham Road,https://choicesupport.org.uk/find-support/find-support-near-you/support-thats-right-for-you,,,,lag_map,0.625,wp,
153,Bexley Voice Parent Carer Forum,DA7 6QP,http://www.bexleyvoice.org.uk,https://bexleyvoice.org.uk,,,,lag_map,0.625,wp,
154,"Billericay
Essex,
Brighter Opportunities through Supported Play",CM12 9AH,weekends and school holidays. Provides fun and exciting activities with social opportunities for children and young people with disabilities.,https://bosp.co.uk,,,,lag_map,0.625,wp,
155,Brent- Asian People's Disability Alliance (APDA),NW10 8RA,Alric Avenue,,,,,lag_map,0.5,np,no_contact
156,Autism Parents Brent - NW10,,We run the second Wednesday of the month. We suggest you follow us on facebook 'Autism Parents Brent' or on twitter @autismbrent or email us for updates around holiday times.,,,,,lag_map,0.375,nc,no_contact
157,Brent Carers Centre,NW10 2PT,friendly and supportive environment. Meets the last Friday of each month. 1 pm - 3 pm.,,,,,lag_map,0.5,np,no_contact
158,"Brent Resources for Autism
Saturday Club",NW2 1TR,we are running an autism specific youth club for young people aged 12-15 with a diagnosis of Autism at:,,,,,lag_map,0.5,np,no_contact
159,Brent Outreach Autism Team (BOAT),,or up to 19 years if the CYP attends a mainstream provision for 6th Form.,https://brent.gov.uk/services-for-residents/education-and-schools/special-educational-needs/brent-outreach-autism-team,,,,lag_map,0.5,wc,
160,Brent Parent Carer Forum,HA9 0BP,First Floor,,,,,lag_map,0.5,np,no_contact
161,Brent- SEND Parent Support Group,NA9 7NW,Meetings on the last Wednesday of each month,,,,,lag_map,0.5,np,no_contact
162,Brentwood- SNAP Essex,,sibling support and family counselling.,https://snapcharity.org,,,,lag_map,0.5,wc,
163,Bromley- Advocacy for all,BR8 7BU,An Advocate helps someone to talk about their needs and wishes. Advocates listen to people and help them to have their voices heard. Advocates represent people who need support to make sure that decisions are made in their best interests.,,,,,lag_map,0.5,np,no_contact
164,"Bromley- CASPA
Bromley and Downham Youth Club",BR1 4RD,increase their communication skills and enable them to relax and have fun.,https://caspabromley.org.uk,,,,lag_map,0.625,wp,
165,"Bromley- CASPA
Duke Youth Centre",BR5 4AS,increase their communication skills and enable them to relax and have fun.,https://caspabromley.org.uk,,,,lag_map,0.625,wp,
166,"Bromley -CASPA
 Orpington",BR5 2QL,increase their communication skills and enable them to relax and have fun.,https://caspabromley.org.uk,,,,lag_map,0.625,wp,
167,"Bromley- CASPA
The Hawes Down Centre",BR4 9AE,increase their communication skills and enable them to relax and have fun.,https://caspabromley.org.uk,,,,lag_map,0.625,wp,
168,"Bromley- CASPA 
The Hub Beckenham",BR3 4RP,increase their communication skills and enable them to relax and have fun.,https://caspabromley.org.uk,,,,lag_map,0.625,wp,
169,Bromley Carers,BR5 4AD,targeting our services to provide the best quality support where it is most needed.,https://carersbromley.org.uk,,,,lag_map,0.625,wp,
170,"Bromley
Beckenham & Penge Gateway Club",SE20 7QR,meals out and trips to the theatre are also arranged.,https://thegatewayclub.co.uk,,,,lag_map,0.625,wp,
171,Bromley Lunch Club,,Bromley Lunch Club,https://burgessautistictrust.org.uk/useful-information/how-to-access-social-clubs,,,,lag_map,0.5,wc,
172,Bromley Parent Voice,BR4 9AE,London,,,,,lag_map,0.5,np,no_contact
173,"Bromley
Burgess Autistic Trust
Parent Support Groups",,Enquiries and applications for membership must be made through the following Bromley Outreach Practitioner:,,,,,lag_map,0.375,nc,no_contact
